Month,Daily change in percentage of quarantined persons
Nov 20,-59%
Nov 19,4.4%
Nov 17,-1.8%
Nov 16,3.3%
Nov 13,6.4%
Nov 12,-6.2%
Nov 11,5.8%
Nov 9,-7.6%
Nov 6,0.6%
Nov 5,5.5%
Nov 4,-3.2%
Nov 3,-3.2%
Oct 30,1.5%
Oct 29,2%
Oct 27,-0.9%
Oct 23,5.4%
Oct 22,12.9%
Oct 21,15.8%
Oct 20,-5%
Oct 16,5.3%
Oct 15,18.7%
Oct 14,17.4%
Oct 13,-15.1%
Oct 12,8.3%
Oct 9,10.1%
Oct 8,17.4%
Oct 7,-8.6%
Oct 6,3.3%
Oct 5,11%
Oct 2,3.8%
Oct 1,3.1%
Sep 30,-3.4%
Sep 29,-1.13%
Sep 28,-2.39%
Sep 27,-2.78%
Sep 26,4.68%
Sep 25,9.43%
Sep 24,9.84%
Sep 23,-1.55%
Sep 22,-0.93%
Sep 21,-1.13%
Sep 20,-0.55%
Sep 19,6.58%
Sep 18,7.84%
Sep 17,9.71%
Sep 16,-1.02%
Sep 15,3.46%
Sep 14,0.26%
Sep 13,1.78%
Sep 11,4.5%
Sep 10,5.1%
Sep 9,4%
Sep 8,5.2%
Sep 7,1.4%
Sep 4,-26.2%
Sep 2,-0.2%
Sep 1,0.6%
Aug 31,-5.1%
Aug 28,-0.1%
Aug 27,2%
Aug 26,-0.3%
Aug 25,1.8%
Aug 24,-9.3%
Aug 14,-0.3%
Aug 13,1.6%
Aug 12,1.4%
Aug 11,1.2%
Aug 10,4%
Aug 5,1.3%
Aug 4,2.5%
Aug 3,-1.9%
Jul 31,-0.4%
Jul 30,2.2%
Jul 29,0.6%
Jul 28,2.3%
Jul 27,-0.5%
Jul 24,1.3%
Jul 23,1.8%
Jul 22,0.2%
Jul 21,1.1%
Jul 20,-0.1%
Jul 17,-4.9%
Jul 16,3.2%
Jul 15,1.1%
Jul 14,1.3%
Jul 13,-0.6%
Jul 12,-0.9%
Jul 11,0.2%
Jul 10,0.9%
Jul 9,1.9%
Jul 8,-1.1%
Jul 7,1.9%
Jul 6,-0.1%
Jul 5,-0.9%
Jul 4,-0.3%
Jul 3,1.5%
Jul 2,0.6%
Jul 1,-0.6%
Jun 30,0.1%
Jun 29,-2.5%
Jun 28,-4.1%
Jun 27,-2.4%
Jun 26,-1%
Jun 25,-0.6%
Jun 24,-1%
Jun 23,0.1%
Jun 22,-0.8%
Jun 21,-2.3%
Jun 20,-0.4%
Jun 19,3.7%
Jun 18,-2.6%
Jun 17,0.6%
Jun 16,1.2%
Jun 15,1.5%
Jun 14,0.5%
Jun 13,3.4%
Jun 12,1.7%
Jun 11,2.4%
Jun 10,1.3%
Jun 9,2.4%
Jun 8,0.2%
Jun 7,1.1%
Jun 6,0.7%
Jun 5,2.4%
Jun 4,0.8%
Jun 3,0.3%
Jun 2,1.4%
Jun 1,-1.8%
May 31,-1.7%
May 30,0.2%
May 29,0.2%
May 28,1%
May 27,0.2%
May 26,0.8%
May 25,-1.3%
May 24,-1.6%
May 23,3.7%
May 22,0.4%
May 21,0.7%
May 20,0.4%
May 19,-5.3%
May 18,-4.3%
May 17,-6.5%
May 16,-4.9%
May 15,-1.7%
May 14,0.7%
May 13,-0.2%
May 12,-0.8%
May 11,-3.8%
May 10,-2.1%
May 9,-1%
May 8,0.1%
May 7,2.5%
May 6,0.6%
May 5,4.2%
May 4,0.1%
May 3,1%
May 2,3.4%
May 1,4.8%
Apr 30,2.8%
Apr 29,3.9%
Apr 28,4.8%
Apr 27,-1%
Apr 26,-8.4%
Apr 25,-11.1%
Apr 24,-5.1%
Apr 23,5.2%
Apr 22,-7.2%
Apr 21,-5%
Apr 20,-10.6%
Apr 19,5%
Apr 18,-14.2%
Apr 17,-3%
Apr 16,-2.5%
Apr 15,0.7%
Apr 14,-4.4%
Apr 13,-7%
Apr 12,-2.4%
Apr 11,5.2%
Apr 10,3.8%
Apr 09,-0.3%
Apr 08,3.6%
Apr 07,3.4%
Apr 06,8.6%
Apr 05,-17.9%
Apr 04,-8.2%
Apr 03,-4.4%
Apr 02,6.5%
Mar 31,3%
Mar 24,10.8%
Mar 23,16.9%
Mar 22,0.05%
Mar 21,18.02%
Mar 20,42.3%
Mar 19,34.2%
Mar 18,52.5%
Mar 17,273.2%
Mar 16,33.4%
Mar 15,70.7%
Mar 14,40.1%
Mar 13,15.2%
Mar 12,129.3%
Mar 11,13.1%
Mar 10,4%
Mar 09,8.8%
Mar 08,-39.8%
Mar 07,19.2%
Mar 06,165.1%
Mar 05,40.4%
Mar 04,0%
