Country,GDP per capita in U.S. dollars
Bahamas,32996.8
Barbados,17758.08
St. Kitts and Nevis *,17512.58
Antigua and Barbuda *,17464.34
Trinidad and Tobago *,16378.65
Panama,15642.82
Costa Rica,12039.11
Grenada *,10939.29
St. Lucia *,10754.86
Mexico,9796.98
Dominican Republic,8340.96
Dominica *,7541.63
St. Vincent and the Grenadines *,7353.72
Colombia,6641.51
Suriname *,5798.16
Jamaica *,5406.37
Guyana *,4984.1
Belize *,4862.05
Guatemala,4545.09
El Salvador,3922.26
Venezuela*,3410.85
Honduras *,2523.8
Nicaragua *,2030.5
Haiti *,868.76
