Year,Population in millions
2019,747183
2018,746419
2017,745415
2016,744269
2015,743059
2014,741818
2013,740542
2012,739225
2011,737851
2010,736413
2009,734923
2008,733417
2007,731939
2006,730547
2005,729288
2004,728150
2003,727134
2002,726312
2001,725772
2000,725558
1999,725705
1998,726142
1997,726669
1996,727020
1995,726994
1994,726529
1993,725657
1992,724390
1991,722776
1990,720858
1989,718617
1988,716057
1987,713279
1986,710422
1985,707584
1984,704808
1983,702071
1982,699330
1981,696514
1980,693567
1979,690485
1978,687286
1977,683960
1976,680498
1975,676895
1974,673132
1973,669208
1972,665163
1971,661056
1970,656919
1969,652790
1968,648636
1967,644345
1966,639762
1965,634783
1964,629367
1963,623575
1962,617536
1961,611434
1960,605407
1959,599513
1958,593743
1957,588048
1956,582371
1955,576679
1954,570970
1953,565282
1952,559694
1951,554324
1950,549329
