city of the United States,Marijuana seized in pounds
Miami (Coastal Border),594
New Orleans (Coastal Border),9
Ramey (Coastal Border),256
Coastal Border Sectors Total,859
Blaine (Northern Border),0
Buffalo (Northern Border),611
Detroit (Northern Border),6
Grand Forks (Northern Border),0
Havre (Northern Border),2
Houlton (Northern Border),43
Spokane (Northern Border),6
Swanton (Northern Border),2452
Northern Border Sectors Total,3120
"Big Bend, formerly Marfa (Southwest Border)",26176
Del Rio (Southwest Border),41
El Centro (Southwest Border),199
El Paso (Southwest Border),11147
Laredo (Southwest Border),36738
"Rio Grande Valley, formerly McAllen (Southwest Border)",122769
San Diego (Southwest Border),3302
Tucson (Southwest Border),59480
Yuma (Southwest Border),3051
Southwest Border Sectors Total,262903
Nationwide Total,266882
