television channel name,Market share
TV4,28%
svt1,26.2%
svt2,6.3%
TV3,4.3%
Sjuan,3.5%
Kanal5,3.4%
TV8,2.8%
TV6,2.8%
TV12,2.1%
Kanal 9,2%
Kanal 11,1.8%
svtB,1.3%
TV10,1.3%
Discovery,1%
Kunskapskanal,0.9%
Investigation Discovery,0.6%
TLC,0.5%
TV4 Fakta,0.5%
TV4 Film,0.5%
National Geographic,0.4%
svt24,0.4%
TV4 Guld,0.3%
Paramount Network,0.3%
Eurosport,0.2%
Sportkanalen,0.2%
History,0.2%
Godare,0.2%
Nickelodeon,0.1%
FOX,0.1%
Eurosport 2 Sweden,0.1%
Boomerang,0.1%
Cartoon Network Sweden,0.1%
Disney Channel,0.1%
Cartoon Network Nordic,0%
