Year,Life expectancy in years
2020,82.22
2015,81.79
2010,80.76
2005,79.69
2000,78.58
1995,77.75
1990,76.83
1985,75.86
1980,74.31
1975,73.01
1970,72.15
1965,71.35
1960,70.32
1955,69.05
1950,67.31
1945,64.95
1940,63.03
1935,61.88
1930,58.43
1925,57.84
1920,53.97
1915,53.41
1910,51.35
1905,49.41
1900,47.6
1895,45.87
1890,45.04
1885,44.82
1880,44.08
1875,42.99
1870,42.27
1865,41.79
1860,41.43
1855,41.17
1850,40.84
1845,40.47
1840,39.94
1835,39.3
1830,39.04
1825,39.03
1820,39.03
1815,39.02
1810,39.01
1805,39.0
1800,39.0
