Occupation,Average usual weekly hours
"Natural resources, agriculture and related production occupations",40.7
Management occupations,40.4
"Trades, transport and equipment operators and related occupations",40.2
Occupations in manufacturing and utilities,39.4
Natural and applied sciences and related occupations,38.2
"Total, all occupations",35.8
"Business, finance and administration occupations",35.4
Health occupations,34.5
"Occupations in education, law and social, community and government services",34.2
Sales and service occupations,31.1
"Occupations in art, culture, recreation and sport",30.3
