"reasons behind U.S. purchases of vitamins, minerals, and/or nutritional supplements",Percentage respondents
To help boost health in general,95%
For bone and joint health,90%
To strengthen immune system,90%
To improve heart helath,87%
To help ward off illnesses,86%
For energy,85%
To improve brain function/memory,78%
To help with digestion,75%
To lower cholesterol,73%
To improve eye sight,72%
To treat a specific condition,72%
To sleep better,64%
For pregnancy,63%
To manage stress,60%
For cancer prevention,58%
For weight control,57%
To manage diabetes,52%
To look younger,49%
