city of the United States,Affordability index in U.S. dollars per year
"San Jose, CA",-80162
"San Francisco, CA",-60975
"Los Angeles, CA",-45761
"San Diego, CA",-36084
"Sacramento, CA",-6636
"New York, NY",-6550
"Seattle, WA",-5778
"Riverside, CA",-5389
"Washington, DC",-5157
"Boston, MA",-4394
"Miami-Fort Lauderdale, FL",-4033
"Denver, CO",-2620
"Portland, OR",-1339
"Salt Lake City, UT",3108
"Virginia Beach, VA",4624
"Austin, TX",5287
"Providence, RI",6178
"Las Vegas, NV",6853
"Phoenix, AZ",7243
"Orlando, FL",7648
"Baltimore, MD",9798
"Nashville, TN",10057
"Milwaukee, WI",10457
"Philadelphia, PA",10509
"Raleigh, NC",11122
"Tampa, FL",11589
"New Orleans, LA",11607
"San Antonio, TX",11879
"Minneapolis-St Paul, MN",12074
"Jacksonville, FL",12136
"Richmond, VA",12363
"Chicago, IL",12948
"Charlotte, NC",13066
"Dallas-Fort Worth, TX",13195
"Hartford, CT",13322
"Houston, TX",13401
"Atlanta, GA",14807
"Oklahoma City, OK",15236
"Louisville, KY",15541
"Columbus, OH",16351
"St. Louis, MO",17741
"Birmingham, AL",17747
"Cincinnati, OH",18022
"Memphis, TN",18263
"Kansas City, MO",18460
"Cleveland, OH",18734
"Indianapolis, IN",18752
"Buffalo, NY",18969
"Pittsburgh, PA",20712
"Detroit, MI",21207
