Month,Number of cases
"Jan 6, 2021",1007
"Jan 5, 2021",1119
"Jan 4, 2021",1277
"Jan 3, 2021",1309
"Jan 2, 2021",1407
"Jan 1, 2021",1409
"Dec 31, 2020",1418
"Dec 30, 2020",1411
"Dec 29, 2020",1333
"Dec 28, 2020",1359
"Dec 27, 2020",1226
"Dec 26, 2020",1189
"Dec 25, 2020",1133
"Dec 24, 2020",1021
"Dec 23, 2020",911
"Dec 22, 2020",788
"Dec 21, 2020",718
"Dec 20, 2020",664
"Dec 19, 2020",611
"Dec 18, 2020",579
"Dec 17, 2020",548
"Dec 16, 2020",544
"Dec 15, 2020",523
"Dec 14, 2020",511
"Dec 13, 2020",486
"Dec 12, 2020",478
"Dec 11, 2020",464
"Dec 10, 2020",445
"Dec 9, 2020",421
"Dec 8, 2020",434
"Dec 7, 2020",415
"Dec 6, 2020",418
"Dec 5, 2020",431
"Dec 4, 2020",427
"Dec 3, 2020",432
"Dec 2, 2020",421
"Dec 1, 2020",392
"Nov 30, 2020",370
"Nov 29, 2020",358
"Nov 28, 2020",351
"Nov 27, 2020",357
"Nov 26, 2020",368
"Nov 25, 2020",365
"Nov 24, 2020",361
"Nov 23, 2020",354
"Nov 22, 2020",351
"Nov 21, 2020",358
"Nov 20, 2020",363
"Nov 19, 2020",342
"Nov 18, 2020",329
"Nov 17, 2020",275
"Nov 16, 2020",242
"Nov 15, 2020",220
"Nov 14, 2020",228
"Nov 13, 2020",224
"Nov 12, 2020",214
"Nov 11, 2020",227
"Nov 10, 2020",232
"Nov 9, 2020",221
"Nov 8, 2020",239
"Nov 7, 2020",208
"Nov 6, 2020",224
"Nov 5, 2020",201
"Nov 4, 2020",207
"Nov 3, 2020",197
"Nov 2, 2020",189
"Nov 1, 2020",181
"Oct 31, 2020",179
"Oct 30, 2020",167
"Oct 29, 2020",179
"Oct 28, 2020",153
"Oct 27, 2020",170
"Oct 26, 2020",167
"Oct 25, 2020",143
"Oct 24, 2020",167
"Oct 23, 2020",170
"Oct 22, 2020",177
"Oct 21, 2020",178
"Oct 20, 2020",158
"Oct 19, 2020",123
"Oct 18, 2020",127
"Oct 17, 2020",138
"Oct 16, 2020",126
"Oct 15, 2020",118
