Year,Temperature departure in degrees Celsius
2019,0.95
2018,0.83
2017,0.91
2016,0.99
2015,0.93
2014,0.74
2013,0.68
2012,0.64
2011,0.58
2010,0.73
2009,0.65
2008,0.55
2007,0.62
2006,0.64
2005,0.67
2004,0.59
2003,0.64
2002,0.62
2001,0.57
2000,0.43
1999,0.44
1998,0.65
1997,0.52
1996,0.32
1995,0.47
1994,0.35
1993,0.28
1992,0.24
1991,0.39
1990,0.45
1989,0.3
1988,0.39
1987,0.39
1986,0.24
1985,0.16
1984,0.17
1983,0.36
1982,0.19
1981,0.32
1980,0.28
1979,0.23
1978,0.12
1977,0.21
1976,-0.07
1975,0.01
1974,-0.06
1973,0.19
1972,0.04
1971,-0.07
1970,0.06
1969,0.11
1968,-0.03
1967,0.0
1966,-0.01
1965,-0.07
1964,-0.14
1963,0.12
1962,0.1
1961,0.09
1960,0.05
1959,0.08
1958,0.13
1957,0.07
1956,-0.18
1955,-0.13
1954,-0.1
1953,0.13
1952,0.04
1951,0.0
1950,-0.15
1949,-0.07
1948,-0.05
1947,-0.04
1946,-0.01
1945,0.17
1944,0.28
1943,0.1
1942,0.1
1941,0.27
1940,0.16
1939,0.01
1938,-0.02
1937,-0.01
1936,-0.12
1935,-0.16
1934,-0.11
1933,-0.26
1932,-0.13
1931,-0.06
1930,-0.11
1929,-0.33
1928,-0.18
1927,-0.18
1926,-0.08
1925,-0.18
1924,-0.24
1923,-0.25
1922,-0.24
1921,-0.16
1920,-0.23
1919,-0.25
1918,-0.3
1917,-0.4
1916,-0.32
1915,-0.09
1914,-0.14
1913,-0.32
1912,-0.34
1911,-0.44
1910,-0.4
1909,-0.44
1908,-0.43
1907,-0.38
1906,-0.21
1905,-0.28
1904,-0.46
1903,-0.37
1902,-0.25
1901,-0.15
1900,-0.07
1899,-0.15
1898,-0.27
1897,-0.1
1896,-0.1
1895,-0.24
1894,-0.31
1893,-0.33
1892,-0.31
1891,-0.25
1890,-0.35
1889,-0.09
1888,-0.13
1887,-0.29
1886,-0.25
1885,-0.25
1884,-0.27
1883,-0.18
1882,-0.1
1881,-0.09
1880,-0.12
