Platform,Penetration rate among Android users
Gmail,96.12%
Maps - Navigate & Explore,94.85%
YouTube,94.58%
Google,94.03%
Hangouts,87.06%
Google+ for G Suite,77.24%
Facebook,74.54%
Google Chrome: Fast & Secure,69.37%
WhatsApp Messenger,52.25%
Google News: Top World & Local News Headlines,43.77%
Messenger – Text and Video Chat for Free,43.48%
Samsung My Files,43.2%
Google Drive,41.33%
Samsung Music,37.31%
"Clean Master - Antivirus, Applock & Cleaner",34.31%
Dropbox,33.59%
Skype - free IM & video calls,28.73%
Twitter,27.11%
"Flipboard - Latest News, Top Stories & Lifestyle",22.76%
Subway Surfers,22.61%
