Year,GDP per capita in U.S. dollars
2024*,1147.79
2023*,1160.27
2022*,1179.29
2021*,1203.47
2020*,1236.19
2019*,1307.03
2018*,1503.4
2017*,1500.65
2016*,1252.7
2015*,1310.35
2014*,1727.03
2013*,1839.54
2012 *,1724.71
2011 *,1635.51
2010,1456.16
2009,1134.76
2008,1365.69
2007,1103.45
2006,1030.28
2005,691.79
2004,530.54
2003,429.01
2002,376.47
2001,376.99
2000,340.16
1999,330.28
1998,352.63
1997,440.7
1996,378.71
1995,410.54
1994,405.54
1993,405.59
1992,424.95
1991,446.78
1990,509.75
1989,561.83
1988,543.32
1987,332.27
1986,276.15
1985,412.85
1984,448.53
