Year,Population in millions
2020,25.5
2019,25.2
2018,24.9
2017,24.58
2016,24.26
2015,23.93
2014,23.6
2013,23.25
2012,22.9
2011,22.54
2010,22.15
2009,21.75
2008,21.33
2007,20.92
2006,20.53
2005,20.18
2004,19.88
2003,19.62
2002,19.4
2001,19.19
2000,18.99
1999,18.79
1998,18.59
1997,18.39
1996,18.19
1995,17.99
1994,17.8
1993,17.6
1992,17.4
1991,17.19
1990,16.96
1989,16.71
1988,16.45
1987,16.18
1986,15.92
1985,15.66
1984,15.42
1983,15.19
1982,14.98
1981,14.78
1980,14.59
1979,14.41
1978,14.25
1977,14.09
1976,13.94
1975,13.77
1974,13.61
1973,13.43
1972,13.24
1971,13.03
1970,12.79
1969,12.52
1968,12.22
1967,11.9
1966,11.59
1965,11.31
1964,11.07
1963,10.85
1962,10.64
1961,10.45
1960,10.24
1959,10.03
1958,9.81
1957,9.59
1956,9.37
1955,9.17
1954,8.97
1953,8.78
1952,8.6
1951,8.4
1950,8.18
1949,7.95
1948,7.75
1947,7.6
1946,7.49
1945,7.4
1944,7.32
1943,7.25
1942,7.18
1941,7.12
1940,7.05
1939,6.98
1938,6.92
1937,6.85
1936,6.8
1935,6.74
1934,6.69
1933,6.64
1932,6.59
1931,6.53
1930,6.47
1929,6.4
1928,6.31
1927,6.19
1926,6.07
1925,5.95
1924,5.83
1923,5.71
1922,5.59
1921,5.47
1920,5.35
1919,5.2
1918,5.07
1917,4.99
1916,4.97
1915,4.96
1914,4.92
1913,4.81
1912,4.67
1911,4.52
1910,4.41
1909,4.3
1908,4.21
1907,4.14
1906,4.09
1905,4.02
1904,3.96
1903,3.91
1902,3.85
1901,3.8
1900,3.74
1899,3.69
1898,3.63
1897,3.58
1896,3.52
1895,3.45
1894,3.39
1893,3.32
1892,3.25
1891,3.17
1890,3.09
1889,3.01
1888,2.92
1887,2.83
1886,2.74
1885,2.65
1884,2.56
1883,2.48
1882,2.4
1881,2.32
1880,2.25
1879,2.18
1878,2.12
1877,2.06
1876,2.02
1875,1.96
1874,1.91
1873,1.86
1872,1.82
1871,1.77
1870,1.72
1869,1.68
1868,1.64
1867,1.59
1866,1.55
1865,1.51
1864,1.46
1863,1.41
1862,1.36
1861,1.31
1860,1.26
1859,1.2
1858,1.14
1857,1.08
1856,1.03
1855,0.98
1854,0.93
1853,0.88
1852,0.83
1851,0.79
1850,0.74
1849,0.7
1848,0.66
1847,0.62
1846,0.58
1845,0.54
1844,0.51
1843,0.49
1842,0.47
1841,0.45
1840,0.43
1839,0.42
1838,0.41
1837,0.4
1836,0.39
1835,0.38
1834,0.37
1833,0.37
1832,0.36
1831,0.35
1830,0.35
1829,0.34
1828,0.34
1827,0.34
1826,0.34
1825,0.34
1824,0.33
1823,0.33
1822,0.33
1821,0.33
1820,0.33
1819,0.34
1818,0.34
1817,0.34
1816,0.34
1815,0.34
1814,0.34
1813,0.34
1812,0.34
1811,0.34
1810,0.34
1809,0.34
1808,0.34
1807,0.35
1806,0.35
1805,0.35
1804,0.35
1803,0.35
1802,0.35
1801,0.35
1800,0.35
