Industry,Number of jobs in thousands
Retail trade,2044.27
Manufacturing,1647.41
Construction,1477.18
Accommodation and food services,1360.76
"Professional, scientific and technical services",1313.43
"Finance and insurance, and holding companies",1044.98
"Administrative and support, waste management and remediation services",1008.23
Transportation and warehousing,901.02
Wholesale trade,818.74
Health care and social assistance,713.41
Other private services,708.7
"Agriculture, forestry, fishing and hunting",377.46
"Real estate, rental and leasing",371.44
Information and cultural industries,348.81
"Arts, entertainment and recreation",329.74
Mining and oil and gas extraction,241.37
Educational services,138.83
Utilities,121.24
