Month,Exchange rate
Nov 2020,87.86
Oct 2020,86.59
Sep 2020,86.73
Aug 2020,88.23
Jul 2020,85.88
Jun 2020,85.22
May 2020,82.5
Apr 2020,82.79
Mar 2020,82.44
Feb 2020,77.98
Jan 2020,79.13
Dec 2019,79.11
Nov 2019,78.98
Oct 2019,78.52
Sep 2019,78.57
Aug 2019,79.19
Jul 2019,77.13
Jun 2019,78.41
May 2019,78.08
Apr 2019,78.0
Mar 2019,78.56
Feb 2019,80.86
Jan 2019,80.8
Dec 2018,80.62
Nov 2018,81.56
Oct 2018,84.54
Sep 2018,84.21
Aug 2018,80.43
Jul 2018,80.3
Jun 2018,79.16
May 2018,79.79
Apr 2018,80.65
Mar 2018,80.25
Feb 2018,79.56
Jan 2018,77.66
Dec 2017,76.07
Nov 2017,76.12
Oct 2017,76.5
Sep 2017,76.8
Aug 2017,75.55
Jul 2017,74.19
Jun 2017,72.38
May 2017,71.27
Apr 2017,69.2
Mar 2017,70.32
Feb 2017,71.29
Jan 2017,72.28
Dec 2016,71.54
Nov 2016,73.06
Oct 2016,73.58
Sep 2016,74.82
Aug 2016,75.03
Jul 2016,74.37
Jun 2016,75.56
May 2016,75.7
Apr 2016,75.38
Mar 2016,74.3
Feb 2016,75.72
Jan 2016,73.2
Dec 2015,72.39
Nov 2015,71.04
Oct 2015,73.11
Sep 2015,74.3
Aug 2015,72.54
Jul 2015,70.0
Jun 2015,71.59
May 2015,71.12
Apr 2015,67.64
Mar 2015,67.74
Feb 2015,70.44
Jan 2015,72.21
Dec 2014,77.38
Nov 2014,76.96
Oct 2014,77.79
Sep 2014,78.57
Aug 2014,81.07
Jul 2014,81.31
Jun 2014,81.2
May 2014,81.43
Apr 2014,83.36
Mar 2014,84.3
Feb 2014,84.95
Jan 2014,84.51
Dec 2013,84.76
Nov 2013,84.5
Oct 2013,84.01
Sep 2013,85.27
Aug 2013,83.95
Jul 2013,78.18
Jun 2013,77.03
May 2013,71.48
Apr 2013,70.77
Mar 2013,70.56
Feb 2013,71.93
Jan 2013,72.07
Dec 2012,71.69
Nov 2012,70.33
Oct 2012,68.86
Sep 2012,70.05
Aug 2012,68.86
Jul 2012,68.11
Jun 2012,70.17
May 2012,69.64
Apr 2012,68.19
Mar 2012,66.54
Feb 2012,65.06
Jan 2012,66.06
Dec 2011,69.21
Nov 2011,68.83
Oct 2011,67.55
Sep 2011,65.6
Aug 2011,65.07
Jul 2011,63.35
Jun 2011,64.52
May 2011,64.47
Apr 2011,64.11
Mar 2011,62.95
Feb 2011,62.01
Jan 2011,60.72
Dec 2010,59.65
Nov 2010,61.45
Oct 2010,61.74
Sep 2010,60.08
Aug 2010,60.06
Jul 2010,59.81
Jun 2010,56.86
May 2010,57.62
Apr 2010,59.62
Mar 2010,61.74
Feb 2010,63.43
Jan 2010,65.54
Dec 2009,68.09
Nov 2009,69.44
Oct 2009,69.22
Sep 2009,70.42
Aug 2009,68.96
Jul 2009,68.23
Jun 2009,66.92
May 2009,66.18
Apr 2009,66.05
Mar 2009,66.8
Feb 2009,62.88
Jan 2009,64.51
Dec 2008,65.15
Nov 2008,62.14
Oct 2008,64.59
Sep 2008,65.41
Aug 2008,64.32
Jul 2008,67.51
Jun 2008,66.56
May 2008,65.56
Apr 2008,62.99
Mar 2008,62.4
Feb 2008,58.51
Jan 2008,57.8
Dec 2007,57.36
Nov 2007,57.8
Oct 2007,56.06
Sep 2007,55.9
Aug 2007,55.48
Jul 2007,55.33
Jun 2007,54.6
May 2007,54.95
Apr 2007,56.64
Mar 2007,57.99
Feb 2007,57.6
Jan 2007,57.51
Dec 2006,58.86
Nov 2006,57.69
Oct 2006,57.26
Sep 2006,58.62
Aug 2006,59.58
Jul 2006,58.88
Jun 2006,58.14
May 2006,57.91
Apr 2006,55.09
Mar 2006,53.38
Feb 2006,52.86
Jan 2006,53.65
Dec 2005,54.09
Nov 2005,53.84
Oct 2005,53.87
Sep 2005,53.8
Aug 2005,53.61
Jul 2005,52.37
Jun 2005,52.99
May 2005,55.2
Apr 2005,56.54
Mar 2005,57.62
Feb 2005,56.83
Jan 2005,57.36
Dec 2004,58.88
Nov 2004,58.56
Oct 2004,57.12
Sep 2004,56.24
Aug 2004,56.37
Jul 2004,56.45
Jun 2004,55.21
May 2004,54.22
Apr 2004,52.63
Mar 2004,55.1
Feb 2004,57.23
Jan 2004,57.27
Dec 2003,55.92
Nov 2003,53.27
Oct 2003,53.05
Sep 2003,51.39
Aug 2003,51.13
Jul 2003,52.53
Jun 2003,54.43
May 2003,54.51
Apr 2003,51.38
Mar 2003,51.45
Feb 2003,51.4
Jan 2003,50.88
Dec 2002,49.0
Nov 2002,48.3
Oct 2002,47.42
Sep 2002,47.49
Aug 2002,47.48
Jul 2002,48.36
Jun 2002,46.77
May 2002,44.9
Apr 2002,43.32
Mar 2002,42.66
Feb 2002,42.33
Jan 2002,42.67
Dec 2001,42.72
Nov 2001,42.63
Oct 2001,43.49
Sep 2001,43.4
Aug 2001,42.44
Jul 2001,40.56
Jun 2001,40.1
May 2001,41.03
Apr 2001,41.69
Mar 2001,42.4
Feb 2001,42.87
Jan 2001,43.66
Dec 2000,41.94
Nov 2000,40.05
Oct 2000,39.64
Sep 2000,40.0
Aug 2000,41.32
Jul 2000,42.09
Jun 2000,42.41
May 2000,39.9
Apr 2000,41.33
Mar 2000,42.03
Feb 2000,42.89
