Year,Inflation rate compared to previous year
2025*,4.17%
2024*,3.91%
2023*,3.65%
2022*,3.33%
2021*,2.98%
2020*,3.88%
2019,1.83%
2018,3.49%
2017,0.48%
2016,0.5%
2015,-0.56%
2014,5.17%
2013,5.39%
2012,5.91%
2011,7.44%
2010,0.95%
2009,7.11%
2008,17.32%
2007,7.66%
2006,11.22%
2005,7.53%
2004,6.92%
2003,10.08%
2002,9.37%
2001,7.63%
2000,6.93%
1999,7.95%
1998,12.36%
1997,8.07%
1996,11.77%
1995,9.61%
1994,13.29%
1993,9.2%
1992,10.8%
1991,15%
1990,8.7%
1989,14.94%
1988,16.81%
1987,11.49%
1986,13.1%
1985,9.41%
