 leading reinsurers,Policyholder surplus in million U.S. dollars
National Indemnity Co.,167461.14
General Re Group,12420.65
Transatlantic Reinsurance,4904.13
Munich Re America Corp.,3962.26
Everest Reins. Co.,3739.14
Odyssey Reins. Group,3518.24
Swiss Reins. America Corp.,4271.85
XL Reins. America,2268.74
Partner Reins. Co.,1080.24
Endurance Reins. Corp. of America,1668.87
SCOR U.S. Group/SCOR re,984.01
Axis Reins. Co.,957.88
The Toa Reins. Co. of America,607.11
American Agricultural Ins. Co.,619.92
Sirius America Insurance Co.,522.08
Renaissance Reinsurance U.S. Inc.,677.73
EMC Reins. Co.,220.9
