Country,Expenditure in U.S. dollars
Luxembourg,32325
United States,29153
United Kingdom,22291
Ireland,16185
Australia,14314
Austria,13711
Norway,13414
Netherlands,13104
New Zealand,12755
Belgium,12539
Sweden,11928
France,11638
Hungary,10838
Germany,10436
Slovenia,10302
Spain,10052
Finland,9874
Estonia,9618
Portugal,9126
Chile,9079
Slovak Republic,9075
Denmark,8778
Korea,8400
Israel,8382
Italy,8131
Turkey,7857
Poland,7843
Czech Republic,7217
Latvia,6379
Lithuania,6353
Mexico,5263
Greece,2137
Colombia,1331
