Field of research,Number of degrees
Business,192184
Education,146367
Health professions and related programs,125216
Engineering,51721
Computer and information sciences,46468
Public administration and social services,46294
Psychology,27841
Social sciences and history,19884
Visual and performing arts,17686
Biological and biomedical sciences,17180
Theology and religious vocations,13828
Mathematics and statistics,10443
"Homeland security, law enforcement, and firefighting",10293
"Communication, journalism, and related programs",10243
Multi/interdisciplinary studies,10175
Legal professions and studies,9177
"Parks, recreation, leisure, and fitness studies",9005
English language and literature/letters,8300
Architecture and related services,7317
Engineering technologies,7247
Physical sciences and science technologies,7196
Agriculture and natural resources,6967
Library science,4953
Family and consumer sciences/human sciences,3308
"Foreign languages, literatures, and linguistics",3261
"Liberal arts and sciences, general studies, and humanities",2473
Philosophy and religious studies,1692
"Area, ethnic, cultural, gender, and group studies",1673
Transportation and materials moving,815
Communications technologies,529
Military technologies and applied sciences,355
Precision production,11
