Year,GDP per capita in U.S. dollars
2025*,4610.24
2024*,4481.83
2023*,4346.25
2022*,4195.15
2021*,4023.23
2020*,3821.29
2019*,4186.96
2018,4067.66
2017,3910.25
2016,3805.99
2015,3705.58
2014,3529.55
2013,3466.38
2012,3400.18
2011,3251.08
2010,2978.76
2009,2860.54
2008,2938.71
2007,2790.01
2006,2634.33
2005,2437.48
2004,2287.47
2003,2218.41
2002,2132.02
2001,2078.26
2000,2007.65
1999,1935.54
1998,1892.16
1997,1783.89
1996,1690.71
1995,1590.37
1994,1386.17
1993,1221.26
1992,1076.56
1991,985.43
1990,917.63
1989,613.81
1988,545.55
1987,473.95
1986,471.74
1985,473.31
