Metropolitan statistical area,"Robbery cases per 100,000 population"
"Baltimore-Columbia-Towson, MD",242.7
"Oakland-Berkeley-Livermore, CA",227.7
"San Francisco-San Mateo-Redwood City, CA",225.0
"San Francisco-Oakland-Berkeley, CA",217.4
"Anchorage, AK",208.4
"Memphis, TN-MS-AR",207.1
"Stockton, CA",206.7
"Albuquerque, NM",194.0
"Los Angeles-Long Beach-Glendale, CA",185.0
"Detroit-Dearborn-Livonia, MI",166.0
"Los Angeles-Long Beach-Anaheim, CA",157.3
"Vineland-Bridgeton, NJ",157.1
"Fairbanks, AK",154.7
"Vallejo, CA",147.9
"Lubbock, TX",147.2
"Bakersfield, CA",138.1
"Milwaukee-Waukesha, WI",136.4
"Albany, GA",135.3
"Modesto, CA",131.7
"Miami-Miami Beach-Kendall, FL",131.5
"Macon-Bibb County, GA",130.0
"Monroe, LA",126.0
"Corpus Christi, TX",124.8
"Tucson, AZ",123.9
"Las Vegas-Henderson-Paradise, NV",123.7
"Cleveland-Elyria, OH",120.5
"Nashville-Davidson–Murfreesboro–Franklin, TN",119.1
"Beaumont-Port Arthur, TX",118.0
"Pine Bluff, AR",115.9
"Durham-Chapel Hill, NC",115.4
"Springfield, IL",115.3
"Miami-Fort Lauderdale-Pompano Beach, FL",114.0
"Riverside-San Bernardino-Ontario, CA",113.4
"Greensboro-High Point, NC",113.3
"Toledo, OH",111.8
"New Orleans-Metairie, LA",109.8
"Topeka, KS",109.5
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",108.7
"Alexandria, LA",108.5
"Florence, SC",107.8
"Baton Rouge, LA",107.4
"Trenton-Princeton, NJ",105.6
"Atlantic City-Hammonton, NJ",103.4
"Sacramento-Roseville-Folsom, CA",102.0
"Buffalo-Cheektowaga, NY",100.9
"Columbus, OH",99.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV",99.9
"Urban Honolulu, HI",97.9
"Fort Wayne, IN",97.6
"Danville, IL",97.5
