Quarter,Number of office buildings
Q2 2020*,96192
Q1 2020*,96166
Q4 2019,96259
Q3 2019,96392
Q2 2019,96535
Q1 2019,96786
Q4 2018,96904
Q3 2018,96898
Q2 2018,97106
Q1 2018,97309
Q4 2017,97437
Q3 2017,97447
Q2 2017,97507
Q1 2017,97710
Q4 2016,97750
Q3 2016,97787
Q2 2016,97916
Q1 2016,97817
Q4 2015,97812
Q3 2015,97892
Q2 2015,97865
Q1 2015,97720
Q4 2014,97566
Q3 2014,97274
Q2 2014,97146
Q1 2014,96850
Q4 2013,96513
Q3 2013,95949
Q2 2013,95663
Q1 2013,95349
Q4 2012,94807
Q3 2012,94176
Q2 2012,93771
Q1 2012,93176
