Month,Index number of sales per week
Jun 20,71.4
May 20,42.0
Apr 20,35.4
Mar 20,69.5
Feb 20,107.5
Jan 20,107.7
Dec 19,103.6
Nov 19,105.6
Oct 19,106.5
Sep 19,107.3
Aug 19,106.9
Jul 19,106.8
Jun 19,107.3
May 19,106.2
Apr 19,110.3
Mar 19,108.1
Feb 19,106.5
Jan 19,106.8
Dec 18,106.1
Nov 18,106.1
Oct 18,104.5
Sep 18,104.2
Aug 18,103.3
Jul 18,105.6
Jun 18,103.9
May 18,105.6
Apr 18,101.5
Mar 18,100.4
Feb 18,101.9
Jan 18,102.2
Dec 17,102.4
Nov 17,103.9
Oct 17,103.5
Sep 17,105.2
Aug 17,104.8
Jul 17,103.9
Jun 17,104.3
May 17,104.3
Apr 17,103.5
Mar 17,104.7
Feb 17,103.6
Jan 17,101.9
Dec 16,100.7
Nov 16,101.6
Oct 16,105.3
Sep 16,98.7
Aug 16,101.0
July 16,102.9
June 16,98.1
May 16,100.6
Apr 16,98.9
Mar 16,96.0
Feb 16,98.8
Jan 16,98.9
Dec 15,100.0
Nov 15,102.0
Oct 15,101.2
Sep 15,103.3
Aug 15,103.5
Jul 15,100.3
Jun 15,105.1
May 15,102.5
Apr 15,105.5
Mar 15,102.8
Feb 15,102.4
Jan 15,98.5
