Year,Life expectancy in years
2018,74.55
2017,74.32
2016,74.06
2015,73.79
2014,73.52
2013,73.24
2012,72.98
2011,72.72
2010,72.48
2009,72.24
2008,72.02
2007,71.79
2006,71.55
2005,71.3
2004,71.01
2003,70.7
2002,70.35
2001,69.98
2000,69.6
1999,69.21
1998,68.83
1997,68.48
1996,68.17
1995,67.92
1994,67.72
1993,67.59
1992,67.51
1991,67.47
1990,67.45
1989,67.43
1988,67.38
1987,67.31
1986,67.18
1985,67.0
1984,66.76
1983,66.49
1982,66.18
1981,65.82
1980,65.43
1979,64.98
1978,64.48
1977,63.91
1976,63.27
1975,62.53
1974,61.71
1973,60.79
1972,59.77
1971,58.64
1970,57.33
1969,55.79
1968,54.02
1967,52.06
1966,49.99
1965,47.96
1964,46.12
1963,44.6
1962,43.47
1961,42.77
1960,42.43
