department,"Positive tests per 100,000 habitants"
Guadeloupe,259.2
Paris,256.0
Rhône,211.1
Nord,205.4
Haute-Garonne,193.6
Hauts-de-Seine,184.4
Bouches-du-Rhône,181.2
Seine-Saint-Denis,167.1
Loire,162.7
Isère,161.0
Val-de-Marne,158.3
Val-d'Oise,132.8
Seine-Maritime,113.2
Tarn,112.7
Ille-et-Vilaine,112.4
Saint-Barthélemy,112.3
Essonne,112.2
Côte-d'Or,110.0
Yvelines,107.2
Gard,106.5
Pas-de-Calais,101.9
Gironde,100.5
Ariège,98.4
Oise,94.4
Hérault,93.6
Somme,91.6
Tarn-et-Garonne,85.3
Seine-et-Marne,85.1
Pyrénées-Atlantiques,82.7
Puy-de-Dôme,82.4
Vaucluse,81.6
Saint-Martin,81.1
Alpes-Maritimes,79.3
Landes,78.9
Martinique,78.6
Eure,78.1
Haute-Vienne,77.7
Loiret,76.7
Aveyron,75.8
Ain,74.7
Gers,74.7
Hautes-Pyrénées,73.2
Haute-Loire,73.2
Pyrénées-Orientales,72.4
Indre-et-Loire,68.9
Yonne,68.7
Saône-et-Loire,68.6
Alpes-de-Haute-Provence,68.4
Vienne,68.1
Marne,67.4
Savoie,66.4
Maine-et-Loire,66.2
Guyane,65.7
Drôme,64.9
Lot-et-Garonne,63.9
Sarthe,63.7
Aude,63.6
Calvados,62.9
Loire-Atlantique,62.4
Corse-du-Sud,59.7
Lozère,57.7
Réunion,57.6
Mayenne,57.3
Doubs,56.7
Corrèze,55.8
Var,52.5
Hautes-Alpes,51.5
Eure-et-Loir,48.9
Jura,47.3
Haute-Savoie,47.3
Aisne,47.1
Lot,46.2
Bas-Rhin,45.7
Meurthe-et-Moselle,42.2
Orne,41.2
Aube,41.0
Charente,40.5
Vendée,40.1
Cantal,38.5
Dordogne,37.7
Ardèche,37.6
Morbihan,36.7
Loir-et-Cher,35.7
Mayotte,35.1
Finistère,32.8
Nièvre,32.1
Haute-Corse,31.8
Côtes-d'Armor,30.2
Ardennes,29.8
Haut-Rhin,29.7
Moselle,28.9
Territoire de Belfort,28.5
Cher,28.3
Allier,27.8
Meuse,27.0
Manche,26.9
Haute-Marne,25.4
Indre,24.4
Deux-Sèvres,23.1
Haute-Saône,22.7
Charente-Maritime,20.9
Creuse,18.1
Vosges,17.8
Miquelon-Langlade et Saint Pierre,0.0
