Chemical drug,Number of items dispensed in millions
Atorvastatin,45.8
Levothyroxine sodium,32.9
Omeprazole,31.5
Amlodipine,30.5
Ramipril,29.3
Lansoprazole,26.7
Bisoprolol fumarate,24.9
Colecalciferol,24.0
Metformin hydrochloride,22.3
Aspirin,22.2
Simvastatin,21.8
Salbutamol,21.7
Paracetamol,17.3
Sertraline hydrochloride,16.8
Co-codamol (Codeine phosphate/paracetamol),15.0
Citalopram hydrobromide,14.0
Amitriptyline hydrochloride,13.9
Furosemide,11.7
Beclometasone dipropionate,11.3
Losartan potassium,10.1
