Year,Population in millions
2020,38.93
2019,38.04
2018,37.17
2017,36.3
2016,35.38
2015,34.41
2014,33.37
2013,32.27
2012,31.16
2011,30.12
2010,29.19
2009,28.39
2008,27.72
2007,27.1
2006,26.43
2005,25.65
2004,24.73
2003,23.68
2002,22.6
2001,21.61
2000,20.78
1999,20.17
1998,19.74
1997,19.36
1996,18.85
1995,18.11
1994,17.08
1993,15.82
1992,14.49
1991,13.3
1990,12.41
1989,11.87
1988,11.62
1987,11.6
1986,11.74
1985,11.94
1984,12.2
1983,12.54
1982,12.88
1981,13.17
1980,13.36
1979,13.41
1978,13.34
1977,13.17
1976,12.94
1975,12.69
1974,12.41
1973,12.11
1972,11.79
1971,11.48
1970,11.17
1969,10.89
1968,10.64
1967,10.4
1966,10.17
1965,9.96
1964,9.74
1963,9.54
1962,9.35
1961,9.17
1960,9.0
1959,8.83
1958,8.68
1957,8.54
1956,8.4
1955,8.27
1954,8.15
1953,8.04
1952,7.94
1951,7.84
1950,7.75
1949,7.66
1948,7.59
1947,7.52
1946,7.45
1945,7.38
1944,7.31
1943,7.24
1942,7.17
1941,7.1
1940,7.03
1939,6.97
1938,6.9
1937,6.84
1936,6.77
1935,6.71
1934,6.64
1933,6.58
1932,6.52
1931,6.46
1930,6.39
1929,6.33
1928,6.27
1927,6.21
1926,6.16
1925,6.1
1924,6.04
1923,5.98
1922,5.93
1921,5.87
1920,5.81
1919,5.76
1918,5.7
1917,5.65
1916,5.6
1915,5.55
1914,5.5
1913,5.46
1912,5.42
1911,5.39
1910,5.35
1909,5.32
1908,5.28
1907,5.25
1906,5.22
1905,5.18
1904,5.15
1903,5.12
1902,5.09
1901,5.05
1900,5.02
1899,4.99
1898,4.96
1897,4.93
1896,4.89
1895,4.86
1894,4.83
1893,4.8
1892,4.77
1891,4.74
1890,4.71
1889,4.68
1888,4.65
1887,4.62
1886,4.59
1885,4.56
1884,4.53
1883,4.5
1882,4.48
1881,4.45
1880,4.42
1879,4.39
1878,4.36
1877,4.34
1876,4.31
1875,4.29
1874,4.26
1873,4.24
1872,4.22
1871,4.19
1870,4.17
1869,4.15
1868,4.13
1867,4.11
1866,4.08
1865,4.07
1864,4.05
1863,4.03
1862,4.01
1861,3.99
1860,3.97
1859,3.96
1858,3.94
1857,3.92
1856,3.91
1855,3.89
1854,3.87
1853,3.86
1852,3.84
1851,3.83
1850,3.81
1849,3.79
1848,3.77
1847,3.75
1846,3.73
1845,3.72
1844,3.7
1843,3.68
1842,3.66
1841,3.64
1840,3.63
1839,3.61
1838,3.59
1837,3.57
1836,3.55
1835,3.54
1834,3.52
1833,3.5
1832,3.48
1831,3.47
1830,3.45
1829,3.43
1828,3.42
1827,3.4
1826,3.39
1825,3.38
1824,3.36
1823,3.35
1822,3.34
1821,3.33
1820,3.32
1819,3.32
1818,3.31
1817,3.3
1816,3.3
1815,3.29
1814,3.29
1813,3.28
1812,3.28
1811,3.28
1810,3.28
1809,3.28
1808,3.28
1807,3.28
1806,3.28
1805,3.28
1804,3.28
1803,3.28
1802,3.28
1801,3.28
1800,3.28
