Year,Number of deaths
1/8/2021,96
1/7/2021,111
1/6/2021,121
1/4/2021,78
1/3/2021,60
1/2/2021,78
12/31/2020,171
12/30/2020,127
12/29/2020,135
12/28/2020,104
12/27/2020,122
12/26/2020,85
12/25/2020,111
12/24/2020,146
12/23/2020,130
12/22/2020,155
12/21/2020,87
12/20/2020,98
12/19/2020,139
12/18/2020,188
12/17/2020,107
12/16/2020,164
12/15/2020,204
12/14/2020,109
12/13/2020,121
12/12/2020,148
12/11/2020,168
12/10/2020,127
12/9/2020,161
12/8/2020,213
12/7/2020,127
12/6/2020,134
12/4/2020,176
12/3/2020,211
12/2/2020,135
12/1/2020,199
11/30/2020,138
11/29/2020,148
11/28/2020,161
11/27/2020,172
11/25/2020,168
11/24/2020,196
11/23/2020,130
11/21/2020,160
11/19/2020,167
11/17/2020,186
11/16/2020,149
11/14/2020,129
11/13/2020,174
11/12/2020,121
11/11/2020,203
11/10/2020,177
11/9/2020,130
11/8/2020,86
11/7/2020,130
11/6/2020,123
11/5/2020,121
11/4/2020,146
11/3/2020,102
11/2/2020,86
11/1/2020,99
10/30/2020,103
10/29/2020,83
10/28/2020,107
10/26/2020,79
10/24/2020,73
10/23/2020,82
10/22/2020,98
10/21/2020,69
10/19/2020,59
10/17/2020,63
10/16/2020,75
10/14/2020,66
10/10/2020,59
10/7/2020,82
10/6/2020,73
10/5/2020,45
10/3/2020,32
10/2/2020,53
9/30/2020,33
9/29/2020,44
9/27/2020,31
9/26/2020,54
9/25/2020,42
9/24/2020,41
9/23/2020,47
9/21/2020,23
9/20/2020,33
9/18/2020,48
9/17/2020,27
9/16/2020,49
9/14/2020,22
9/11/2020,35
9/9/2020,51
9/7/2020,33
9/4/2020,47
9/1/2020,60
8/31/2020,43
8/29/2020,32
8/28/2020,48
8/27/2020,38
8/25/2020,58
8/22/2020,37
8/20/2020,48
8/19/2020,32
8/18/2020,45
8/16/2020,37
8/15/2020,50
8/13/2020,53
8/12/2020,43
8/10/2020,29
8/7/2020,50
8/5/2020,41
8/3/2020,19
7/31/2020,39
7/29/2020,30
7/27/2020,19
7/25/2020,15
7/23/2020,25
7/21/2020,36
7/20/2020,12
7/17/2020,17
7/14/2020,30
7/12/2020,13
7/11/2020,24
7/8/2020,18
7/5/2020,19
7/2/2020,20
6/29/2020,22
6/26/2020,14
6/23/2020,16
6/20/2020,16
6/18/2020,22
6/16/2020,10
6/13/2020,14
6/10/2020,15
6/7/2020,8
6/4/2020,11
6/1/2020,8
5/29/2020,11
5/26/2020,17
5/23/2020,11
5/20/2020,15
5/17/2020,16
