State,Total number
California,2500302
Texas,1860763
Florida,1392123
New York,1048281
Illinois,991719
Ohio,735003
Georgia,706154
Pennsylvania,678998
Tennessee,617649
North Carolina,575396
Arizona,567474
Michigan,546642
Indiana,533083
Wisconsin,531890
New Jersey,499636
Minnesota,425261
Missouri,416886
Massachusetts,397202
Alabama,379593
Virginia,371913
Colorado,346893
South Carolina,328073
Louisiana,326648
Oklahoma,308268
Maryland,289758
Utah,288951
Iowa,288300
Kentucky,280835
Washington,258767
Arkansas,238888
Nevada,235455
Kansas,233136
Mississippi,225444
Connecticut,196968
Nebraska,171033
New Mexico,148499
Idaho,144843
Oregon,119488
South Dakota,101076
Rhode Island,93852
North Dakota,93494
West Virginia,93162
Montana,83378
Puerto Rico,79612
Delaware,61100
Alaska,48560
New Hampshire,47992
Wyoming,45569
District of Columbia,30166
Maine,26565
Hawaii,22485
Vermont,8038
Guam,7378
US Virgin Islands,2083
Other,152
Northern Mariana Islands,124
