Year,Year over year foot traffic growth (2020 vs. 2019)
13-Sep,-11%
12-Sep,2%
11-Sep,2%
10-Sep,7%
9-Sep,9%
8-Sep,22%
7-Sep,0%
6-Sep,-15%
5-Sep,-9%
4-Sep,15%
3-Sep,12%
2-Sep,7%
1-Sep,-18%
31-Aug,0%
30-Aug,-12%
29-Aug,1%
28-Aug,-11%
27-Aug,-5%
26-Aug,-5%
25-Aug,0%
24-Aug,-1%
23-Aug,-11%
22-Aug,0%
21-Aug,7%
20-Aug,6%
19-Aug,4%
18-Aug,3%
17-Aug,2%
16-Aug,-7%
15-Aug,0%
14-Aug,5%
13-Aug,6%
12-Aug,4%
11-Aug,6%
10-Aug,3%
9-Aug,-8%
8-Aug,1%
7-Aug,8%
6-Aug,10%
5-Aug,13%
4-Aug,0%
3-Aug,1%
2-Aug,-5%
1-Aug,1%
31-Jul,7%
30-Jul,7%
29-Jul,2%
28-Jul,5%
27-Jul,-2%
26-Jul,-10%
25-Jul,1%
24-Jul,5%
23-Jul,8%
22-Jul,7%
21-Jul,3%
20-Jul,0%
19-Jul,-11%
18-Jul,-3%
17-Jul,6%
16-Jul,6%
15-Jul,6%
14-Jul,6%
13-Jul,-1%
12-Jul,-11%
11-Jul,0%
10-Jul,5%
9-Jul,8%
8-Jul,5%
7-Jul,4%
6-Jul,4%
5-Jul,-7%
4-Jul,0%
3-Jul,20%
2-Jul,0%
1-Jul,-21%
30-Jun,-9%
29-Jun,-9%
28-Jun,-15%
27-Jun,-8%
26-Jun,1%
25-Jun,2%
24-Jun,7%
23-Jun,-4%
22-Jun,-12%
21-Jun,-27%
20-Jun,8%
19-Jun,11%
18-Jun,8%
17-Jun,2%
16-Jun,3%
15-Jun,-4%
14-Jun,-10%
13-Jun,-8%
12-Jun,-5%
11-Jun,-6%
10-Jun,-6%
9-Jun,-4%
8-Jun,-7%
7-Jun,-19%
6-Jun,-8%
5-Jun,-3%
4-Jun,-4%
3-Jun,-5%
2-Jun,-9%
1-Jun,-16%
31-May,-27%
30-May,-14%
29-May,-7%
28-May,-3%
27-May,-6%
26-May,-11%
25-May,-48%
24-May,-28%
23-May,-18%
22-May,-11%
21-May,-8%
20-May,-9%
19-May,-3%
18-May,-11%
17-May,-30%
16-May,-16%
15-May,-9%
14-May,-7%
13-May,-12%
12-May,-12%
11-May,-19%
10-May,-40%
9-May,-20%
8-May,-12%
7-May,-10%
6-May,-9%
5-May,-7%
4-May,-20%
3-May,-35%
2-May,-21%
1-May,-14%
30-Apr,-6%
29-Apr,-10%
28-Apr,-7%
27-Apr,-21%
26-Apr,-43%
25-Apr,-26%
24-Apr,-20%
23-Apr,-16%
22-Apr,-19%
21-Apr,-20%
20-Apr,-37%
19-Apr,0%
18-Apr,-39%
17-Apr,-39%
16-Apr,-27%
15-Apr,-26%
14-Apr,-20%
13-Apr,-31%
12-Apr,0%
11-Apr,-35%
10-Apr,-23%
9-Apr,-18%
8-Apr,-25%
7-Apr,-26%
6-Apr,-30%
5-Apr,-54%
4-Apr,-39%
3-Apr,-29%
2-Apr,-18%
1-Apr,-20%
31-Mar,-19%
30-Mar,-34%
29-Mar,-51%
28-Mar,-38%
27-Mar,-24%
26-Mar,-15%
25-Mar,-17%
24-Mar,-15%
23-Mar,-18%
22-Mar,-37%
21-Mar,-58%
20-Mar,-22%
19-Mar,10%
18-Mar,13%
17-Mar,18%
16-Mar,39%
15-Mar,-13%
14-Mar,3%
13-Mar,66%
12-Mar,96%
11-Mar,50%
10-Mar,35%
9-Mar,20%
8-Mar,4%
7-Mar,10%
6-Mar,22%
5-Mar,23%
4-Mar,28%
3-Mar,34%
2-Mar,33%
1-Mar,16%
29-Feb,19%
28-Feb,19%
27-Feb,16%
26-Feb,15%
25-Feb,7%
24-Feb,6%
23-Feb,9%
22-Feb,4%
21-Feb,3%
20-Feb,2%
19-Feb,11%
18-Feb,-2%
17-Feb,5%
16-Feb,3%
15-Feb,0%
14-Feb,12%
13-Feb,12%
12-Feb,-4%
11-Feb,8%
10-Feb,5%
9-Feb,7%
8-Feb,10%
7-Feb,4%
6-Feb,-6%
5-Feb,6%
4-Feb,1%
3-Feb,5%
2-Feb,1%
1-Feb,8%
