Building (city),Height in meters
One World Trade Center(New York City),541
Willis Tower(Chicago),442
432 Park Avenue(New York City),426
Trump International Hotel & Tower(Chicago),423
30 Hudson Yards,395
Empire State Building(New York City),381
Bank of America Tower(New York City),366
Aon Center(Chicago),346
875 North Michigan Avenue(Chicago),344
Comcast Innovation & Technology Center(Philadelphia),342
Wilshire Grand Center(Los Angeles),335
Three World Trade Center(New York City),329
Salesforce Tower(San Francisco),326
53W53(New York City),320
Chrysler Building(New York City),319
New York Times Tower(New York City),319
