Response,Percentage of respondents
Healthy eating apps,49%
Firtness/training apps,48%
Calorie counter apps,48%
Nutrition apps,46%
General health and lifestyle information apps,41%
"Apps to access health magazines, blogs, Facebook pages, etc.",23%
"Apps that provide advice/support on long-term medical conditions such as diabetes, asthma, IBS, etc.",13%
Sleep aids/sleep monitoring apps,10%
Medication reminder apps,9%
Apps to help educate children on health,9%
Private medical provider apps,7%
Other health and lifestyle information apps (e.g. alcohol intake monitoring),4%
Apps that provide smoking cessation support tools,1%
