State,"Number of cases per 10,000 people"
Rockland,870.0
Richmond (Staten Island),773.8
Westchester,752.0
Suffolk,691.8
Nassau,685.4
Orange,638.0
Bronx,602.4
Oneida,578.0
Queens,565.8
Chemung,564.1
Cortland,538.4
New York City total,528.2
Putnam,522.0
Genesee,505.3
Kings (Brooklyn),490.5
Monroe,488.3
Cayuga,477.2
Onondaga,476.6
Erie,472.3
Broome,452.5
Dutchess,443.3
Niagara,440.0
Herkimer,432.0
Sullivan,430.3
Allegany,421.1
Schenectady,418.5
Albany,410.0
New York (Manhattan),398.5
Steuben,382.6
Wyoming,382.4
Lewis,378.5
Tioga,369.0
Ulster,364.4
Orleans,360.5
Cattaraugus,351.2
Madison,347.2
Oswego,340.2
Ontario,332.4
Otsego,332.2
Livingston,323.0
Chautauqua,320.2
Schuyler,318.8
Greene,314.0
Wayne,313.9
Rensselaer,311.0
Montgomery,306.5
Columbia,295.1
Seneca,288.6
Chenango,278.9
Saratoga,276.3
Hamilton,270.6
Fulton,262.9
Yates,260.9
St. Lawrence,219.8
Jefferson,213.1
Warren,209.4
Tompkins,209.4
Schoharie,201.9
Franklin,186.3
Essex,176.9
Delaware,170.7
Clinton,162.6
Washington,153.6
