Month,Percentage change**
Apr 20,83.2%
Mar 20,19.7%
Feb 20,0.9%
Jan 20,1.3%
Dec 19,-6.8%
Nov 19,-1.5%
Oct 19,1.9%
Sep 19,7.1%
Aug 19,7.3%
Jul 19,-0.3%
Jun 19,-6.1%
May 19,-5%
Apr 19,0.3%
Mar 19,-1.1%
Feb 19,0.1%
Jan 19,3.5%
Dec 18,2.4%
Nov 18,3%
Oct 18,3.1%
Sep 18,2.9%
Aug 18,5.5%
Jul 18,10.1%
Jun 18,15.5%
May 18,17.7%
Apr 18,11.2%
Mar 18,11.9%
Feb 18,16.8%
Jan 18,7.2%
Dec 17,8.5%
Nov 17,7.3%
Oct 17,9.4%
Sep 17,11.7%
Aug 17,16%
Jul 17,14.1%
Jun 17,11.5%
May 17,8.1%
Apr 17,20%
Mar 17,21.3%
Feb 17,16.4%
Jan 17,18.2%
