State,Number of people
California,210
Texas,108
Florida,71
Arizona,44
Georgia,39
Oklahoma,38
Ohio,36
Colorado,31
Louisiana,28
North Carolina,26
New York,25
Virginia,23
Pennsylvania,23
Washington,23
New Jersey,23
Missouri,22
Illinois,22
Indiana,21
South Carolina,21
New Mexico,21
Tennessee,21
Michigan,20
Alabama,19
Kentucky,19
Nevada,18
Oregon,17
Maryland,17
Minnesota,13
Wisconsin,12
Mississippi,12
West Virginia,12
Kansas,11
Massachusetts,10
Utah,10
Nebraska,9
Idaho,7
District of Columbia,6
Iowa,5
Wyoming,5
Hawaii,5
Alaska,5
Arkansas,5
Connecticut,4
Montana,4
Delaware,3
New Hampshire,3
Maine,2
South Dakota,2
Vermont,1
North Dakota,1
Rhode Island,1
