Country,Subscriptions per 100 inhabitants
Anguilla (UK),50.6
Antigua and Barbuda,49.9
Aruba (Netherlands),45.3
Bahamas,38.2
Barbados,37.3
Belize,34.6
Bermuda,33.6
Uruguay,33.4
Saint Kitts and Nevis*,33.2
Bolivia,32.5
Brazil,27.5
British Virgin Islands,27.4
Puerto Rico,23.1
Trinidad and Tobago,23.1
Argentina,21.9
Saint Lucia,20.1
Cayman Islands,19.6
Venezuela,19.2
Chile,18.3
Saint Vincent and the Grenadines,17.4
Colombia,16.9
Panama,16.1
Costa Rica,16.0
Suriname,15.3
Cuba,15.3
Curaçao (Netherlands),14.5
Dominica,13.7
Dominican Republic,13.0
Ecuador,12.8
El Salvador,12.5
Peru*,9.8
Falkland/Malvinas Islands,8.7
Paraguay,4.4
Grenada,3.8
Mexico*,3.7
Guatemala,3.6
Guyana,2.4
Haiti,1.9
Honduras,1.6
Jamaica,0.5
