Month,EUR/USD exchange rate
Nov 2020,1.18
Oct 2020,1.18
Sep 2020,1.18
Aug 2020,1.18
Jul 2020,1.15
Jun 2020,1.13
May 2020,1.09
Apr 2020,1.09
Mar 2020,1.11
Feb 2020,1.09
Jan 2020,1.11
Dec 2019,1.11
Nov 2019,1.11
Oct 2019,1.11
Sep 2019,1.1
Aug 2019,1.11
Jul 2019,1.12
Jun 2019,1.13
May 2019,1.12
Apr 2019,1.12
Mar 2019,1.13
Feb 2019,1.14
Jan 2019,1.14
Dec 2018,1.14
Nov 2018,1.14
Oct 2018,1.15
Sep 2018,1.17
Aug 2018,1.15
Jul 2018,1.17
Jun 2018,1.17
May 2018,1.18
Apr 2018,1.23
Mar 2018,1.23
Feb 2018,1.23
Jan 2018,1.22
Dec 2017,1.18
Nov 2017,1.17
Oct 2017,1.18
Sep 2017,1.19
Aug 2017,1.18
Jul 2017,1.15
Jun 2017,1.12
May 2017,1.11
Apr 2017,1.07
Mar 2017,1.07
Feb 2017,1.06
Jan 2017,1.06
Dec 2016,1.05
Nov 2016,1.08
Oct 2016,1.1
Sep 2016,1.12
Aug 2016,1.12
Jul 2016,1.11
Jun 2016,1.12
May 2016,1.13
Apr 2016,1.13
Mar 2016,1.11
Feb 2016,1.11
Jan 2016,1.09
Dec 2015,1.09
Nov 2015,1.07
Oct 2015,1.12
Sep 2015,1.12
Aug 2015,1.11
Jul 2015,1.1
Jun 2015,1.12
May 2015,1.12
Apr 2015,1.08
Mar 2015,1.08
Feb 2015,1.14
Jan 2015,1.16
Dec 2014,1.23
Nov 2014,1.25
Oct 2014,1.27
Sep 2014,1.29
Aug 2014,1.33
Jul 2014,1.35
Jun 2014,1.36
May 2014,1.37
Apr 2014,1.38
Mar 2014,1.38
Feb 2014,1.37
Jan 2014,1.36
Dec 2013,1.37
Nov 2013,1.35
Oct 2013,1.36
Sep 2013,1.33
Aug 2013,1.33
Jul 2013,1.31
Jun 2013,1.32
May 2013,1.3
Apr 2013,1.3
Mar 2013,1.3
Feb 2013,1.34
Jan 2013,1.33
Dec 2012,1.31
Nov 2012,1.28
Oct 2012,1.3
Sep 2012,1.29
Aug 2012,1.24
Jul 2012,1.23
Jun 2012,1.25
May 2012,1.28
Apr 2012,1.32
Mar 2012,1.32
Feb 2012,1.32
Jan 2012,1.29
Dec 2011,1.32
Nov 2011,1.36
Oct 2011,1.37
Sep 2011,1.38
Aug 2011,1.43
Jul 2011,1.43
Jun 2011,1.44
May 2011,1.43
Apr 2011,1.44
Mar 2011,1.4
Feb 2011,1.36
Jan 2011,1.34
Dec 2010,1.32
Nov 2010,1.37
Oct 2010,1.39
Sep 2010,1.31
Aug 2010,1.29
Jul 2010,1.28
Jun 2010,1.22
May 2010,1.26
Apr 2010,1.34
Mar 2010,1.36
Feb 2010,1.37
Jan 2010,1.43
Dec 2009,1.46
Nov 2009,1.49
Oct 2009,1.48
Sep 2009,1.46
Aug 2009,1.43
Jul 2009,1.41
Jun 2009,1.4
May 2009,1.37
Apr 2009,1.32
Mar 2009,1.31
Feb 2009,1.28
Jan 2009,1.32
Dec 2008,1.34
Nov 2008,1.27
Oct 2008,1.33
Sep 2008,1.44
Aug 2008,1.5
Jul 2008,1.58
Jun 2008,1.56
May 2008,1.56
Apr 2008,1.58
Mar 2008,1.55
Feb 2008,1.47
Jan 2008,1.47
Dec 2007,1.46
Nov 2007,1.47
Oct 2007,1.42
Sep 2007,1.39
Aug 2007,1.36
Jul 2007,1.37
Jun 2007,1.34
May 2007,1.35
Apr 2007,1.35
Mar 2007,1.32
Feb 2007,1.31
Jan 2007,1.3
Dec 2006,1.32
Nov 2006,1.29
Oct 2006,1.26
Sep 2006,1.27
Aug 2006,1.28
Jul 2006,1.27
Jun 2006,1.27
May 2006,1.28
Apr 2006,1.23
Mar 2006,1.2
Feb 2006,1.19
Jan 2006,1.21
Dec 2005,1.19
Nov 2005,1.18
Oct 2005,1.2
Sep 2005,1.23
Aug 2005,1.23
Jul 2005,1.2
Jun 2005,1.22
May 2005,1.27
Apr 2005,1.29
Mar 2005,1.32
Feb 2005,1.3
Jan 2005,1.31
Dec 2004,1.34
Nov 2004,1.3
Oct 2004,1.25
Sep 2004,1.22
Aug 2004,1.22
Jul 2004,1.23
Jun 2004,1.21
May 2004,1.2
Apr 2004,1.2
Mar 2004,1.23
Feb 2004,1.26
Jan 2004,1.26
Dec 2003,1.23
Nov 2003,1.17
Oct 2003,1.17
Sep 2003,1.12
Aug 2003,1.11
Jul 2003,1.14
Jun 2003,1.17
May 2003,1.16
Apr 2003,1.08
Mar 2003,1.08
Feb 2003,1.08
Jan 2003,1.06
Dec 2002,1.02
Nov 2002,1.0
Oct 2002,0.98
Sep 2002,0.98
Aug 2002,0.98
Jul 2002,0.99
Jun 2002,0.96
May 2002,0.92
Apr 2002,0.89
Mar 2002,0.88
Feb 2002,0.87
Jan 2002,0.88
Dec 2001,0.89
Nov 2001,0.89
Oct 2001,0.91
Sep 2001,0.91
Aug 2001,0.9
Jul 2001,0.86
Jun 2001,0.85
May 2001,0.87
Apr 2001,0.89
Mar 2001,0.91
Feb 2001,0.92
Jan 2001,0.94
Dec 2000,0.9
Nov 2000,0.86
Oct 2000,0.86
Sep 2000,0.87
Aug 2000,0.9
Jul 2000,0.94
Jun 2000,0.95
May 2000,0.91
Apr 2000,0.95
Mar 2000,0.96
Feb 2000,0.98
Jan 2000,1.01
Dec 1999,1.01
Nov 1999,1.03
Oct 1999,1.07
Sep 1999,1.05
Aug 1999,1.06
Jul 1999,1.04
Jun 1999,1.04
May 1999,1.06
Apr 1999,1.07
Mar 1999,1.09
Feb 1999,1.12
Jan 1999,1.16
