province of China,Number of unemployed people
Sichuan,504000
Henan,494300
Liaoning,456300
Shandong,442200
Hubei,376300
Guangdong,368700
Hebei,359800
Jiangsu,350900
Heilongjiang,346900
Zhejiang,344300
Hunan,310900
Inner Mongolia,281300
Jiangxi,274900
Anhui,267700
Tianjin,260900
Jilin,239100
Shaanxi,238000
Yunnan,229300
Shanxi,212600
Guangxi,196600
Shanghai,193400
Chongqing,174600
Fujian,168100
Guizhou,153300
Gansu,108300
Xinjiang,83600
Beijing,73700
Hainan,55700
Ningxia,50500
Qinghai,31000
Tibet,21400
