Month,Retail sales in thousand GBP
Jun 20,3125034
May 20,1411108
Apr 20,1150654
Mar 20,2667543
Feb 20,3014367
Jan 20,4057862
Dec 19,6454643
Nov 19,4121353
Oct 19,3688116
Sep 19,4553260
Aug 19,3756479
Jul 19,3999067
Jun 19,4734059
May 19,3535417
Apr 19,3615672
Mar 19,4113607
Feb 19,2981150
Jan 19,3183238
Dec 18,6568917
Nov 18,4169220
Oct 18,3616085
Sep 18,4417836
Aug 18,3627659
Jul 18,3946838
Jun 18,4577433
May 18,3511873
Apr 18,3278963
Mar 18,3866899
Feb 18,2853483
Jan 18,3049561
Dec 17,6363785
Nov 17,4097619
Oct 17,3587045
Sep 17,4448136
Aug 17,3682815
Jul 17,3867265
Jun 17,4580700
May 17,3463503
Apr 17,3387293
Mar 17,3985468
Feb 17,2905527
Jan 17,3054374
Dec 16,6281117
Nov 16,3994203
Oct 16,3654037
Sept 16,4171042
Aug 16,3547164
July 16,3809316
June 16,4297676
May 16,3332611
Apr 16,3125491
Mar 16,3747463
Feb 16,2775015
Jan 16,2993349
