Response,Share of advertising investment
Food,15.4%
Automotive,10.9%
Distribution,8.5%
Pharmaceuticals,7.6%
Telecommunications,6%
Alcoholic and non-alcoholic beverages,5.8%
Media,5%
Home furnishing,4.7%
Utilities,4.5%
Finance/insurance,4.3%
Toiletries,3.4%
Personal care,3.3%
Professional services,2.9%
Apparel,2.8%
Institutions,2.5%
Manufacturing/constructions,2.2%
Others,2.2%
Leisure,2.2%
Tourism and travel,1.7%
Household appliance,1.1%
Personal effects,1%
Motorbike/vehicle,0.6%
Toys/school items,0.6%
Informatics/photography,0.5%
