Response,Share of sales
Jul 20,28.1%
Jun 20,31.1%
May 20,32.8%
Apr 20,30.1%
Mar 20,21.9%
Feb 20,19%
Jan 20,20.1%
Dec 19,21.4%
Nov 19,21.5%
Oct 19,19.1%
Sep 19,18.1%
Aug 19,18.1%
Jul 19,18.7%
Jun 19,18.3%
May 19,18.8%
Apr 19,18.4%
Mar 19,18.9%
Feb 19,18.3%
Jan 19,19.3%
Dec 18,19.7%
Nov 18,21.6%
Oct 18,18.1%
Sep 18,17.2%
Aug 18,16.7%
July 18,17.1%
June 18,17.5%
May 18,17.5%
Apr 18,17.2%
Mar 18,17.3%
Feb 18,16.8%
Jan 18,17.7%
Dec 17,17.9%
Nov 17,19.9%
Oct 17,16.5%
Sep 17,16%
Aug 17,15.4%
Jul 17,15.5%
Jun 17,15.8%
May 17,15.4%
