State,Number of adherents
California,16765751
Texas,13994564
New York,9923512
Florida,7357588
Illinois,7094832
Pennsylvania,6838440
Ohio,5071684
Georgia,4924376
New Jersey,4809520
North Carolina,4530365
Michigan,4165343
Massachusetts,3748058
Virginia,3586592
Tennessee,3522345
Wisconsin,3047442
Alabama,3007553
Minnesota,2986450
Missouri,2950894
Indiana,2874144
Louisiana,2746897
Maryland,2415376
South Carolina,2413443
Arizona,2379928
Washington,2328005
Kentucky,2237714
Oklahoma,2226379
Utah,2186403
Colorado,1902282
Connecticut,1830862
Mississippi,1742916
Iowa,1642344
Arkansas,1614357
Kansas,1444455
Oregon,1194793
New Mexico,1031198
Nebraska,1016529
Nevada,927955
Idaho,801655
West Virginia,658313
Rhode Island,576919
Hawaii,561980
South Dakota,476832
New Hampshire,462772
North Dakota,451456
Montana,376976
Delaware,374917
Maine,367043
District of Columbia,332342
Alaska,240833
Wyoming,223074
Vermont,210391
