Response,Share of respondents
More regular power and USB outlets,34%
Offering streaming services (e.g. Netflix and HBO Go) on guest television,34%
In-room chargers for laptops and / or phones,32%
Keyless / mobile technology room entry,27%
Offering 'smart' TVs with internet access,27%
Self-check in / check-out kiosks,24%
Smartphone docking stations,23%
Online or mobile check-in / check-out,22%
Maintaining 'guest profiles' to deliever a personalized hotel stay,18%
Body sensors that can detect when a room is occupied to control energy use / plan house keeping visits,13%
Offering laptops or tablets for rent or check-out,10%
In-room VOIP phone service,6%
