Country,Active mobile social media penetration
Malta,98%
Iceland,97%
Gibraltar,98%
The Faeroe Islands,96%
Andorra,98%
Norway,98%
Sweden,72%
Denmark,97%
Jersey,98%
United Kingdom (UK),98%
Ireland,99%
Netherlands,97%
Portugal,97%
Luxembourg,98%
Belgium,96%
Spain,98%
Italy,98%
Kosovo,99%
Montenegro,98%
The Isle of Man,97%
Albania,99%
France,97%
Guernsey,97%
Hungary,94%
Macedonia,97%
Lithuania,97%
Switzerland,98%
Finland,97%
Romania,98%
Estonia,95%
Bulgaria,96%
Austria,97%
Monaco,97%
Greece,96%
Slovenia,96%
Croatia,97%
Bosnia & Herzegovina,97%
Slovakia,96%
Czechia,95%
Germany,97%
Liechtenstein,97%
Latvia,95%
Belarus,92%
Poland,97%
Serbia,96%
Russia,90%
Ukraine,97%
San Marino,97%
Moldova,97%
Cyprus,98%
