Year,GDP per capita in U.S. dollars
2025*,2826.2
2024*,2755.57
2023*,2692.41
2022*,2608.44
2021*,2595.61
2020*,2651.52
2019*,2884.33
2018*,2853.24
2017*,2755.49
2016*,2567.58
2015*,2742.92
2014,2992.71
2013,2800.16
2012,2865.81
2011,2552.03
2010,2132.18
2009,1833.08
2008,1883.5
2007,1576.14
2006,1403.68
2005,1264.81
2004,1111.44
2003,1012.58
2002,850.61
2001,877.09
2000,1025.04
1999,1030.84
1998,1158.16
1997,1554.0
1996,1668.29
1995,1609.13
1994,1866.89
1993,1743.47
1992,1573.47
1991,1469.26
1990,1287.93
1989,1480.33
1988,1592.38
1987,1180.0
1986,1057.89
1985,992.94
