football club,Number of followers in thousands
LA Galaxy,4027.67
New York City FC,3266.13
Atlanta United,1714.88
Seattle Sounders,1605.56
Orlando City,1407.75
New York Red Bulls,1371.13
LAFC,1069.29
Toronto FC,976.27
Sporting Kansas City,874.21
Houston Dynamo,873.52
Portland Timbers,804.57
Montreal Impact,781.37
Vancouver Whitecaps,727.44
FC Dallas,636.85
Chicago Fire,615.68
DC United,585.41
San Jose Earthquakes,540.82
Columbus Crew,484.37
Philadelphia Union,420.92
Real Salt Lake,416.86
New England Revolution,405.85
Minnesota United,394.47
Colorado Rapids,386.33
FC Cincinnati,291.49
