Month,Remain,Leave,Don't Know
Jan '20,49%,45%,6%
Dec '19,52%,43%,5%
Nov '19,51%,45%,4%
Oct '19,49%,44%,7%
Sep '19,46%,46%,8%
Aug '19,52%,41%,7%
July '19,48%,44%,8%
Jun '19,48%,44%,9%
May '19,52%,41%,7%
Apr '19,51%,42%,8%
Mar '19,49%,42%,9%
Feb '19,50%,40%,9%
Jan '19,49%,41%,10%
Dec '18,52%,40%,8%
Nov '18,49%,42%,8%
Oct '18,48%,41%,11%
Sep '18,47%,43%,10%
Aug '18,49%,41%,10%
Jul '18,49%,43%,8%
Jun '18,46%,43%,10%
May '18,47%,43%,10%
Apr '18,49%,40%,11%
Mar '18,49%,42%,9%
Feb '18,47%,44%,9%
Jan '18,48%,44%,9%
