federal subject,For,Against
Chechen Republic,97%,1%
Tyva Republic,96%,2%
Crimea Republic,90%,9%
Dagestan Republic,89%,10%
Yamalo-Nenets Autonomous Okrug,89%,10%
Krasnodar Krai,88%,10%
Bashkortostan Republic,88%,10%
Ingushetia Republic,87%,10%
Kemerovo Oblast,87%,12%
Tambov Oblast,87%,11%
Astrakhan Oblast,86%,12%
Penza Oblast,85%,14%
Tyumen Oblast,85%,14%
Bryansk Oblast,85%,13%
Kabardino-Balkarian Republic,85%,12%
Mordovia Republic,85%,13%
Karachay-Cherkess Republic,84%,15%
Sevastopol,84%,14%
Kalmykia Republic,84%,14%
Adygea Republic,84%,14%
Stavropol Krai,84%,13%
Rostov Oblast,83%,15%
Volgograd Oblast,83%,15%
Tula Oblast,83%,16%
Tatarstan Republic,82%,16%
North Ossetia - Alania Republic,82%,16%
Saratov Oblast,82%,16%
Belgorod Oblast,81%,17%
Chukotka Autonomous Okrug,80%,18%
Voronezh Oblast,80%,19%
Samara Oblast,80%,18%
Nizhny Novgorod Oblast,79%,20%
Orel Oblast,79%,19%
Leningrad Oblast,79%,19%
Lipetsk Oblast,78%,20%
Ryazan Oblast,78%,20%
Pskov Oblast,78%,20%
Primorsky Krai,78%,20%
Moscow Oblast,78%,20%
Saint Petersburg,77%,21%
Jewish Autonomous Okrug,77%,21%
Ivanovo Oblast,76%,23%
Mari El Republic,75%,23%
Sakhalin Oblast,74%,24%
Zabaykalsky Krai,74%,24%
Orenburg Oblast,73%,25%
Kursk Oblast,73%,25%
Kaliningrad Oblast,72%,27%
Chuvashia Republic,72%,26%
Buryatia Republic,71%,26%
Smolensk Oblast,71%,26%
Vologda Oblast,71%,28%
Ulyanovsk Oblast,71%,27%
Novgorod Oblast,71%,27%
Vladimir Oblast,71%,27%
Tver Oblast,71%,27%
Altai Krai,71%,26%
Karelia Republic,70%,28%
Amur Oblast,70%,28%
Kirov Oblast,70%,28%
Perm Krai,70%,28%
Krasnoyarsk Krai,70%,28%
Kaluga Oblast,70%,28%
Khanty-Mansi Autonomous Okrug,69%,30%
Kurgan Oblast,69%,29%
Khakassia Republic,69%,29%
Chelyabinsk Oblast,69%,29%
Udmurt Republic,68%,30%
Yaroslavl Oblast,68%,30%
Kostroma Oblast,67%,31%
Novosibirsk Oblast,67%,31%
Altai Republic,66%,32%
Moscow,65%,33%
Komi Republic,65%,33%
Arkhangelsk Oblast,65%,33%
Sverdlovsk Oblast,65%,32%
Irkutsk Oblast,64%,34%
Tomsk Oblast,64%,34%
Murmansk Oblast,62%,36%
Omsk Oblast,62%,36%
Khabarovsk Krai,62%,36%
Magadan Oblast,62%,36%
Kamchatka Krai,61%,37%
Sakha (Yakutia) Republic,58%,40%
Nenets Autonomous Okrug,43%,55%
