Year and candidate,Democrat,Republican,Federalist,Democratic-Republican,Vote not cast,National Republican,Whig,Know Nothing,Unnamed: 9
2020: Joe Biden*,10,-,-,-,-,-,-,-,-
2016: Hillary Clinton,10,-,-,-,-,-,-,-,-
2012: Barack Obama*,10,-,-,-,-,-,-,-,-
2008: Barack Obama*,10,-,-,-,-,-,-,-,-
2004: John Kerry,10,-,-,-,-,-,-,-,-
2000: Al Gore,10,-,-,-,-,-,-,-,-
1996: Bill Clinton*,10,-,-,-,-,-,-,-,-
1992: Bill Clinton*,10,-,-,-,-,-,-,-,-
1988: George H. W. Bush*,-,10,-,-,-,-,-,-,-
1984: Ronald Reagan*,-,10,-,-,-,-,-,-,-
1980: Jimmy Carter,10,-,-,-,-,-,-,-,-
1976: Jimmy Carter*,10,-,-,-,-,-,-,-,-
1972: Richard Nixon*,-,10,-,-,-,-,-,-,-
1968: Hubert Humphrey,10,-,-,-,-,-,-,-,-
1964: Lyndon B. Johnson*,10,-,-,-,-,-,-,-,-
1960: John F. Kennedy*,9,-,-,-,-,-,-,-,-
1956: Dwight D. Eisenhower*,-,9,-,-,-,-,-,-,-
1952: Dwight D. Eisenhower*,-,9,-,-,-,-,-,-,-
1948: Thomas E. Dewey,-,8,-,-,-,-,-,-,-
1944: Franklin D. Roosevelt*,8,-,-,-,-,-,-,-,-
1940: Franklin D. Roosevelt*,8,-,-,-,-,-,-,-,-
1936: Franklin D. Roosevelt*,8,-,-,-,-,-,-,-,-
1932: Franklin D. Roosevelt*,8,-,-,-,-,-,-,-,-
1928: Herbert Hoover*,-,8,-,-,-,-,-,-,-
1924: Calvin Coolidge*,-,8,-,-,-,-,-,-,-
1920: Warren G. Harding*,-,8,-,-,-,-,-,-,-
1916: Woodrow Wilson*,8,-,-,-,-,-,-,-,-
1912: Woodrow Wilson*,8,-,-,-,-,-,-,-,-
"1908: William Jennings Bryan (6), William Howard Taft*  (2)",6,2,-,-,-,-,-,-,-
"1904: Alton B. Parker (7), Theodore Roosevelt*  (1)",7,1,-,-,-,-,-,-,-
1900: William McKinley*,-,8,-,-,-,-,-,-,-
1896: William McKinley*,-,8,-,-,-,-,-,-,-
1892: Grover Cleveland*,8,-,-,-,-,-,-,-,-
1888: Grover Cleveland,8,-,-,-,-,-,-,-,-
1884: Grover Cleveland*,8,-,-,-,-,-,-,-,-
1880: Winfield Hancock,8,-,-,-,-,-,-,-,-
1876: Samuel J. Tilden,8,-,-,-,-,-,-,-,-
1872: Thomas A. Hendricks**,8,-,-,-,-,-,-,-,-
1868: Horatio Seymour,7,-,-,-,-,-,-,-,-
1864: Abraham Lincoln*,-,7,-,-,-,-,-,-,-
1860: John C. Breckenridge,8,-,-,-,-,-,-,-,-
1856: Millard Fillmore,-,-,-,-,-,-,-,8,-
1852: Franklin Pierce*,8,-,-,-,-,-,-,-,-
1848: Zachary Taylor*,-,-,-,-,-,-,8,-,-
1844: Henry Clay,-,-,-,-,-,-,8,-,-
1840: William Henry Harrison*,-,-,-,-,-,-,10,-,-
1836: William Henry Harrison,-,-,-,-,-,-,10,-,-
"1832: Henry Clay  (5), Andrew Jackson* (3)",3,-,-,-,2,5,-,-,-
"1828: John Quincy Adams  (6), Andrew Jackson* (5)",5,-,-,-,-,6,-,-,-
"1824: Andrew Jackson (7), John Quincy Adams*  (3), William Crawford (1)",-,-,-,11,-,-,-,-,-
1820: James Monroe*,-,-,-,11,-,-,-,-,-
1816: James Monroe*,-,-,-,8,3,-,-,-,-
"1812: James Madison*  (6), DeWitt Clinton (5)",-,-,5,6,-,-,-,-,-
"1808: James Madison*  (9), Charles Pinckney (2)",-,-,2,9,-,-,-,-,-
"1804: Thomas Jefferson*  (9), Charles Pinckney (2)",-,-,2,9,-,-,-,-,-
"1800***: Thomas Jefferson* (5), John Adams (5)",-,-,5,5,-,-,-,-,-
"1796: John Adams*  (7), Thomas Jefferson (4)",-,-,7,4,-,-,-,-,-
1792: George Washington*,-,-,8,-,-,-,-,-,-
1789: George Washington*,-,-,6,-,-,-,-,-,-
