Brand,2012,2013
Levi's,21%,26%
Jockey,18%,21%
Bata,10%,26%
Lee Cooper,17%,12%
Allen Solly,13%,7%
Van Heusen,2%,7%
Tommy Hilfiger,5%,4%
Calvin Klein,2%,3%
Burberry,1%,3%
Provogue,2%,4%
Red Tape,2%,3%
Gucci,1%,2%
GAP,1%,3%
Polo Ralph Lauren,1%,4%
ZARA,0%,2%
Lacoste,2%,1%
DKNY,0%,1%
Marks & Spencer,1%,2%
Giorgio Armani,1%,1%
Goldlion,0%,1%
Franco Leone,0%,2%
Mango,1%,1%
Christian Dior,1%,0%
FCUK,0%,1%
Kenzo,2%,1%
Louis Vuitton,1%,1%
Pierre Cardin,1%,1%
Samsonite,0%,0%
H&M,1%,1%
Y.S.L.,0%,1%
Dunhill,1%,1%
Escada,1%,1%
Givenchy,0%,0%
Guess,1%,0%
Hugo Boss,0%,1%
Céline,0%,0%
Dolce & Gabbana,1%,0%
Valentino,0%,1%
Versace,0%,1%
