Year,Elementary/secondary education,Postsecondary education,Other education,Research programs at universities and related institutions
2018,85.04,69.74,9.56,35.42
2017,81.83,62.54,9.68,35.86
2016,82.1,63.33,9.63,34.45
2015,79.01,74.9,9.5,32.39
2014,77.24,69.44,9.46,32.2
2013,75.82,63.55,9.24,30.31
2012,76.28,70.2,9.35,32.18
2011,74.54,64.74,10.8,32.02
2010,75.54,49.28,9.23,36.99
2005,69.03,38.56,7.3,33.42
2000,43.79,15.0,5.78,21.66
1990,21.98,13.62,3.38,12.61
1980,16.03,11.09,1.55,5.8
1970,5.83,3.43,0.96,2.28
