Country,Cities,Towns and suburbs,Rural areas
Malta,89.5,10.3,0.2
United Kingdom,57.2,29.2,13.6
Netherlands,45.1,40.2,14.7
Italy,43.4,41.1,15.5
Belgium,28.8,53.2,18.0
Germany,35.4,41.4,23.2
Spain,51.1,22.5,26.5
Portugal,44.4,28.4,27.1
Cyprus,51.2,20.9,27.9
Sweden,35.1,36.4,28.5
Finland,34.2,35.7,30.1
Bulgaria,39.5,26.4,34.2
France,45.2,19.8,35.0
Ireland,39.7,24.3,36.0
Czech Republic,31.5,31.2,37.3
Greece,38.0,23.9,38.1
Hungary,29.7,30.3,40.0
Austria,29.8,29.4,40.7
Estonia,43.1,15.7,41.2
Slovakia,23.6,35.1,41.3
Poland,33.2,24.5,42.3
Romania,33.5,24.0,42.6
Slovenia,18.8,36.4,44.8
Denmark,34.2,20.6,45.2
Lithuania,42.8,10.5,46.7
Latvia,43.4,9.7,46.9
Croatia,24.7,28.4,46.9
Luxembourg,14.5,36.6,48.9
