Year,Male,Female
2020*,6421,5438
2019,9802,9455
2018,9034,8535
2017,8521,7947
2016,8178,7768
2015,7722,7348
2014,7354,7062
2013,7242,7016
2012,7044,6966
2011,7103,7046
2010,7175,733
2009,7344,7288
2008,7210,6997
2007,7550,685
2006,7557,7193
2005,7248,7249
2004,7090,7065
2003,6639,6646
2002,6495,6326
2001,6374,6328
2000,6093,585
1999,5505,5366
1998,5310,5052
1997,5005,4541
1996,4820,4402
1995,4690,4169
1994,4500,3703
1993,4285,3481
1992,3933,3158
1991,3861,3092
1990,3793,2839
1989,3456,2474
1988,3373,2536
