Year,Voted,Voted for winning candidate
2020**,48.23%,24.56%
2016,42.17%,19.42%
2012,41.12%,20.99%
2008,43.18%,22.79%
2004,41.77%,21.19%
2000,37.34%,17.88%
1996,36.3%,17.19%
1992,40.94%,17.61%
1988,37.46%,20%
1984,39.29%,23.1%
1980,38.08%,19.32%
1976,37.43%,18.73%
1972,36.98%,22.47%
1968,36.39%,15.84%
1964,36.53%,22.48%
1960,38.1%,18.94%
1956,36.73%,21.07%
1952,39.05%,21.54%
1948,33.31%,16.49%
1944,34.67%,18.5%
1940,37.77%,21.01%
1936,35.53%,17.82%
1932,31.71%,18.29%
1928,30.46%,17.79%
1924,25.35%,13.78%
1920,25.02%,15.16%
1916,18.12%,8.95%
1912,15.75%,6.6%
1908,16.64%,8.66%
1904,16.41%,9.28%
1900,18.12%,9.49%
1896,19.69%,10.09%
1892,18.48%,8.53%
1888,18.97%,9.07%
1884,18.17%,8.84%
1880,18.33%,8.86%
1876,18.09%,8.76%
1872,15.38%,8.61%
1868*,15.09%,7.94%
1864*,11.78%,6.49%
1860,14.94%,5.96%
1856,14.67%,6.67%
1852,12.8%,6.54%
1848,11.78%,6.21%
1844,13.61%,6.91%
1840,14.04%,7.43%
1836,9.93%,5.03%
1832,9.63%,5.22%
1828,9.58%,5.38%
1824,3.3%,1.04%
