state of Brazil,Apr '20,Oct '20
Pernambuco,53%,40.6%
Rio de Janeiro,51.6%,40.6%
Maranhão,50.7%,39.1%
Piauí,51.4%,38.7%
Bahia,47.4%,38.4%
Ceará,52.9%,38.2%
Amazonas,49.9%,37.8%
Rondônia,42.5%,37.5%
Acre,45.1%,37.4%
Federal District,56.5%,37.4%
Paraíba,50.6%,36.7%
Amapá,50.9%,36.3%
Rio Grande do Norte,50.7%,36%
Alagoas,47.5%,35.9%
Pará,48.6%,35.6%
Mato Grosso,43.3%,35.3%
São Paulo,49.6%,35%
Sergipe,49.6%,34.7%
Rio Grande do Sul,49.1%,34.7%
Roraima,43.1%,34.5%
Minas Gerais,47.9%,34.3%
Mato Grosso do Sul,41.8%,34.2%
Espírito Santo,47.4%,33.8%
Goiás,56.3%,33.3%
Santa Catarina,47.3%,33.3%
Paraná,46.5%,33.1%
Tocantins,40.8%,31.4%
