Year,African American,Asian American,Hispanic
"113th Congress, 2013",1,1,3
"112th Congress, 2011",0,2,2
"111th Congress, 2009",0,2,2
"110th Congress, 2007",1,2,3
"109th Congress, 2005",1,2,2
"108th Congress, 2003",0,2,0
"107th Congress, 2001",0,2,0
"106th Congress, 1999",0,2,0
"105th Congress, 1997",1,2,0
"104th Congress, 1995",1,2,0
"103rd Congress, 1993",1,2,0
"102nd Congress, 1991",0,2,0
"101st Congress, 1989",0,3,0
"100th Congress, 1987",0,2,0
"99th Congress, 1985",0,2,0
"98th Congress, 1983",0,2,0
"97th Congress, 1981",0,3,0
"96th Congress, 1979",0,3,0
"95th Congress, 1977",1,3,0
"94th Congress, 1975",1,2,1
