Year,Net migration,Emigration,Immigration
2019,6.2,10.7,16.9
2018,3.6,11.8,15.5
2017,1.4,11.9,13.3
2016,1.5,12.0,13.5
2015,0.0,0.0,0.0
2014,-15.8,28.1,12.3
2013,-19.9,32.1,12.2
2012,-6.6,21.2,14.6
2011,-4.3,19.9,15.5
2010,-2.1,17.4,15.2
2009,-1.2,18.6,17.4
2008,-14.9,30.1,15.3
2007,-20.5,35.5,15.0
2006,-36.1,46.9,10.8
2005,-12.9,22.2,9.3
2004,-9.4,18.9,9.5
2003,-13.8,20.8,7.0
2002,-17.9,24.5,6.6
2001,-16.7,23.3,6.6
2000,-19.7,27.0,7.3
1999,-14.0,21.5,7.5
1998,-13.3,22.2,8.9
1997,-11.8,20.2,8.4
1995,-18.2,26.3,8.1
1990,-15.8,18.4,2.6
1985,-18.9,20.5,1.6
1980,-21.2,22.7,1.5
1975,-7.8,9.6,1.8
1970,-12.2,14.1,1.9
1965,-26.4,28.6,2.2
1960,-22.3,28.0,5.7
1955,2.8,1.9,4.7
1950,-52.8,60.9,8.1
