Year,Public,Private
2029*,15081,1457
2028*,15067,1456
2027*,15093,1460
2026*,15220,1474
2025*,15438,1496
2024*,15635,1515
2023*,15746,1538
2022*,15703,1542
2021*,15549,1539
2020*,15361,1531
2019*,15232,1512
2018*,15206,1504
2017,15190,1468
2016,15138,1482
2015,15050,1446
2014,14943,1373
2013,14794,1312
2012,14753,1302
2011,14749,1291
2010,14860,1299
2009,14952,1309
2008,14908,1342
2007,15086,1364
2006,15081,1360
2005,14909,1349
2004,14618,1331
2003,14339,1311
2002,14069,1306
2001,13736,1296
2000,13517,1264
1999,13371,1229
1998,13195,1212
1997,13056,1185
1996,12849,1178
1995,12502,1163
1994,12215,1138
1993,11963,1118
1992,11737,1125
1991,11544,1131
1990,11341,1136
1989,11390,1163
1988,11687,1206
1987,12076,1247
1986,12333,1336
1985,12388,1362
1984,12304,1400
1983,12271,1400
1982,12405,1400
1981,12764,1400
1980,13231,1339
1979,13616,1300
1978,14088,1353
1977,14203,1343
1976,14314,1342
1975,14304,1300
1974,14103,1300
1973,14044,1300
1972,13848,1300
1971,13753,1300
1970,13336,1311
1969,13037,1300
1968,12718,1400
1967,12250,1400
1966,11894,1400
1965,11610,1400
