Year,Actual deaths,Maximum expected deaths
1-Aug-20,55485,53675
25-Jul-20,61022,53908
18-Jul-20,60857,53923
11-Jul-20,60055,54133
4-Jul-20,58552,54257
27-Jun-20,58658,54411
20-Jun-20,58394,54640
13-Jun-20,58555,54545
6-Jun-20,59347,54754
30-May-20,60153,54953
23-May-20,62113,55130
16-May-20,65004,55516
9-May-20,67322,55804
2-May-20,69818,56381
25-Apr-20,74388,57045
18-Apr-20,77207,57625
11-Apr-20,79415,58258
4-Apr-20,72525,58726
28-Mar-20,63136,59385
21-Mar-20,59101,59940
14-Mar-20,58390,60270
7-Mar-20,59690,60659
29-Feb-20,59449,60940
22-Feb-20,59043,61381
15-Feb-20,58631,61733
8-Feb-20,59270,61896
1-Feb-20,58655,62066
25-Jan-20,59033,62606
18-Jan-20,59276,62541
11-Jan-20,60660,62496
4-Jan-20,60103,61900
28-Dec-19,58615,61536
21-Dec-19,57575,60455
14-Dec-19,57789,59898
7-Dec-19,57415,59248
30-Nov-19,55591,58970
23-Nov-19,56326,58155
16-Nov-19,56030,57814
9-Nov-19,55801,57278
2-Nov-19,54206,56915
26-Oct-19,54154,56707
19-Oct-19,54435,56617
12-Oct-19,53217,56076
5-Oct-19,52680,55712
28-Sep-19,52879,55344
21-Sep-19,51905,54975
14-Sep-19,51741,54866
7-Sep-19,51953,54637
31-Aug-19,51291,54499
24-Aug-19,51141,54242
17-Aug-19,51121,54103
10-Aug-19,51849,54100
3-Aug-19,51542,54210
27-Jul-19,51800,54341
20-Jul-19,51800,54388
13-Jul-19,52070,54306
6-Jul-19,52498,54703
29-Jun-19,52316,54846
22-Jun-19,52423,55032
15-Jun-19,52789,55037
8-Jun-19,53292,54943
1-Jun-19,52856,55189
25-May-19,53822,55390
18-May-19,53676,55818
11-May-19,53611,56254
4-May-19,54118,56677
27-Apr-19,53767,57407
20-Apr-19,54584,57961
13-Apr-19,55641,58520
6-Apr-19,56710,59190
30-Mar-19,56772,59579
23-Mar-19,57214,60232
16-Mar-19,58033,60696
9-Mar-19,58665,61162
2-Mar-19,58080,61687
23-Feb-19,58132,62228
16-Feb-19,58116,62626
9-Feb-19,58650,63161
2-Feb-19,58276,63293
26-Jan-19,58031,64213
19-Jan-19,58362,64199
12-Jan-19,58506,64024
5-Jan-19,58461,62599
29-Dec-18,56164,61847
22-Dec-18,56688,60870
15-Dec-18,56530,59884
8-Dec-18,56095,59055
1-Dec-18,55210,58498
24-Nov-18,54998,57839
17-Nov-18,54820,57378
10-Nov-18,53692,57110
3-Nov-18,53767,56500
27-Oct-18,53881,56298
20-Oct-18,53113,56186
13-Oct-18,51983,55697
6-Oct-18,52486,55383
29-Sep-18,51105,55284
22-Sep-18,51713,54778
15-Sep-18,51215,54626
8-Sep-18,50429,54507
1-Sep-18,50757,54099
25-Aug-18,50577,54101
18-Aug-18,50423,53775
11-Aug-18,51130,53725
4-Aug-18,50799,53971
28-Jul-18,50422,53712
21-Jul-18,50741,53803
14-Jul-18,51337,53693
7-Jul-18,51812,53866
30-Jun-18,51004,54030
23-Jun-18,51221,53971
16-Jun-18,51514,53971
9-Jun-18,52123,54131
2-Jun-18,51162,54479
26-May-18,51055,54895
19-May-18,50739,55126
12-May-18,52216,55439
5-May-18,53885,55983
28-Apr-18,53849,56642
21-Apr-18,54157,57199
14-Apr-18,55354,57589
7-Apr-18,55420,58225
31-Mar-18,55045,58799
24-Mar-18,55912,59473
17-Mar-18,56462,59955
10-Mar-18,57244,60370
3-Mar-18,56829,60775
24-Feb-18,57954,61185
17-Feb-18,59931,61454
10-Feb-18,61244,61639
3-Feb-18,61124,61858
27-Jan-18,62922,62082
20-Jan-18,64820,62436
13-Jan-18,67664,61880
6-Jan-18,66339,61267
30-Dec-17,61265,60255
23-Dec-17,59671,59435
16-Dec-17,57537,58762
9-Dec-17,55746,58372
2-Dec-17,54903,57703
25-Nov-17,54225,57217
18-Nov-17,53920,56476
11-Nov-17,53384,56032
4-Nov-17,53837,55661
28-Oct-17,52672,55388
21-Oct-17,52357,55176
14-Oct-17,51703,54937
7-Oct-17,52235,54483
30-Sep-17,51467,54055
23-Sep-17,51353,53665
16-Sep-17,51820,53313
9-Sep-17,51111,53177
2-Sep-17,50960,53066
26-Aug-17,49659,52871
19-Aug-17,50303,52717
12-Aug-17,50364,52758
5-Aug-17,50210,52817
29-Jul-17,49493,52927
22-Jul-17,50241,52882
15-Jul-17,50122,52882
8-Jul-17,51091,52972
1-Jul-17,50742,53055
24-Jun-17,51326,53092
17-Jun-17,50933,53000
10-Jun-17,51525,53141
3-Jun-17,51370,53435
27-May-17,51100,53852
20-May-17,52574,54061
13-May-17,52082,54369
6-May-17,52754,54774
29-Apr-17,53404,55639
22-Apr-17,53168,56183
15-Apr-17,54976,56530
8-Apr-17,55267,56928
1-Apr-17,55829,57433
25-Mar-17,57161,58106
18-Mar-17,56789,58479
11-Mar-17,57597,58775
4-Mar-17,57359,59150
25-Feb-17,58398,59498
18-Feb-17,58591,59946
11-Feb-17,59162,60181
4-Feb-17,58537,60387
28-Jan-17,58186,60619
21-Jan-17,59444,60801
14-Jan-17,61114,60527
