region of Italy,March,April,May,June,December
Aosta Valley,-95%,-95%,-79%,-32%,-56%
Lombardy,-95%,-94%,-65%,-25%,-39%
Piedmont,-94%,-92%,-66%,-23%,-38%
Trentino-South Tyrol,-96%,-90%,-56%,-19%,-36%
Tuscany,-94%,-90%,-63%,-18%,-35%
Campania,-94%,-95%,-58%,-15%,-35%
Basilicata,-91%,-89%,-55%,-10%,-33%
Abruzzo,-94%,-93%,-59%,-7%,-32%
Calabria,-94%,-92%,-58%,-5%,-31%
Friuli-Venezia Giulia,-95%,-92%,-60%,-17%,-26%
Apulia,-94%,-92%,-54%,-11%,-26%
Sicily,-95%,-94%,-57%,-15%,-25%
Molise,-91%,-90%,-58%,-2%,-24%
Marche,-95%,-92%,-61%,-9%,-23%
Veneto,-96%,-91%,-61%,-16%,-23%
Emilia-Romagna,-96%,-91%,-61%,-17%,-23%
Lazio,-94%,-89%,-61%,-22%,-22%
Umbria,-95%,-94%,-63%,-15%,-22%
Liguria,-94%,-90%,-62%,-4%,-21%
Sardinia,-94%,-93%,-62%,-13%,-17%
