Month,Asia Pacific (other),China,Japan
Aug '20,9.9,12.46,3.02
Jul '20,9.38,12.11,2.98
Jun '20,9.04,12.28,2.9
May '20,9.23,12.46,2.93
Apr '20,9.38,11.79,2.85
Mar '20,9.68,11.52,2.88
Feb '20,9.48,11.55,2.94
Jan '20,9.54,12.23,3.0
Dec '19,9.56,12.81,3.04
Nov '19,9.78,13,3.1
Oct '19,9.92,13.03,3.09
Sep '19,9.88,12.66,3.06
Aug '19,9.65,12.13,3.02
Jul '19,9.22,11.85,2.98
Jun '19,8.9,11.7,2.96
May '19,8.97,11.88,2.88
Apr '19,9.05,11.04,2.93
Mar '19,9.26,10.86,2.86
Feb '19,9.45,10.72,2.99
Jan '19,9.96,11.63,3.16
Dec '18,10.33,12.71,3.32
Nov '18,10.84,13.97,3.39
Oct '18,10.53,14.42,3.36
Aug '18,10.46,14.11,3.39
Jul '18,10.32,13.82,3.39
Jun '18,10.32,13.59,3.39
May '18,10.28,13.16,3.38
Apr '18,10.13,12.38,3.3
Mar '18,10.22,11.95,3.19
Feb '18,10.19,11.7,3.18
Jan '18,10.35,12.01,3.21
Dec '17,10.41,12.01,3.24
Nov '17,10.39,11.9,3.21
Oct '17,10.33,11.65,3.2
Sep '17,10.17,11.36,3.14
Aug '17,9.98,11.08,3.13
Jul '17,9.77,10.69,3.04
Jun '17,9.5,10.41,2.98
May '17,9.39,10.23,2.96
Apr '17,9.23,10.15,2.89
Mar '17,8.06,10.08,2.87
Feb '17,8.77,10.05,2.77
Jan '17,8.72,10.15,2.79
Dec '16,8.86,10.17,2.8
Nov '16,8.94,10.04,2.88
Oct '16,8.88,9.78,2.89
Sep '16,8.73,9.47,2.8
Aug '16,8.37,8.99,2.74
Jul '16,8.12,8.56,2.6
Jun '16,7.97,8.29,2.53
May '16,8.0,8.09,2.56
Apr '16,8.03,7.8,2.6
Mar '16,8.02,7.94,2.59
Feb '16,7.83,8.02,2.47
Jan '16,7.85,8.42,2.49
Dec '15,8.08,8.45,2.57
Nov '15,8.53,8.67,2.68
Oct '15,8.72,8.58,2.7
Sep '15,8.58,8.45,2.69
Aug '15,8.57,8.23,2.67
Jul '15,8.71,8.17,2.63
Jun '15,8.94,8.13,2.57
May '15,9.0,8.08,2.54
Apr '15,8.78,7.78,2.54
Mar '15,8.58,7.83,2.54
Feb '15,8.33,7.75,2.55
Jan '15,16.47,-,2.62
