Response,"TV, radio or newspapers",E-mail,The brand's website,Facebook,Instagram,Twitter,Texts,Streaming videos,Regular mail
Average,45%,42%,33%,31%,21%,19%,18%,17%,11%
United States,37%,50%,28%,26%,15%,14%,13%,11%,12%
India,66%,55%,49%,65%,47%,47%,37%,46%,30%
Japan,54%,27%,31%,9%,9%,20%,8%,6%,3%
South Africa,54%,54%,39%,48%,27%,28%,28%,19%,16%
Brazil,53%,40%,40%,49%,46%,28%,12%,22%,5%
South Korea,49%,22%,15%,19%,17%,9%,31%,14%,14%
China,46%,28%,47%,18%,17%,19%,30%,45%,18%
Italy,43%,34%,29%,38%,19%,13%,8%,12%,5%
Canada,39%,54%,36%,28%,16%,15%,8%,9%,14%
Germany,39%,36%,28%,18%,12%,7%,22%,6%,5%
France,34%,46%,22%,22%,9%,10%,14%,5%,6%
United Kingdom,28%,64%,34%,25%,13%,14%,12%,7%,10%
