Month,Confirmed cases,Fatal cases
Nov 20,22464,626
Nov 19,23975,637
Nov 18,19883,603
Nov 17,19152,357
Nov 16,20816,143
Nov 15,21854,303
Nov 14,25571,548
Nov 13,24051,419
Nov 12,22683,275
Nov 11,25221,430
Nov 10,25454,330
Nov 9,21713,173
Nov 8,24785,236
Nov 7,27875,349
Nov 6,27086,445
Nov 5,27143,367
Nov 4,24692,373
Nov 3,19364,227
Nov 2,15578,92
Nov 1,17171,152
Oct 31,21897,280
Oct 30,21629,202
Oct 29,20156,301
Oct 28,18820,234
Oct 27,16300,132
Oct 26,10241,45
Oct 25,11742,87
Oct 24,13628,179
Oct 23,13632,153
Oct 22,12107,168
Oct 21,10040,130
Oct 20,9291,107
Oct 19,7482,41
Oct 18,8536,49
Oct 17,9622,84
Oct 16,7705,132
Oct 15,8099,91
Oct 14,6526,116
Oct 13,5068,63
Oct 12,4394,35
Oct 11,4178,32
Oct 10,5300,53
Oct 9,4739,52
Oct 8,4280,76
Oct 7,3003,75
Oct 6,2236,58
Oct 5,2006,29
Oct 4,1934,26
Oct 3,2367,34
Oct 2,2292,27
Oct 1,1967,30
Sep 30,1552,30
Sep 29,1326,30
Sep 28,1306,15
Sep 27,1350,8
Sep 26,1584,32
Sep 25,1587,23
Sep 24,1136,25
Sep 23,974,28
Sep 22,711,18
Sep 21,748,5
Sep 20,910,11
Sep 19,1002,12
Sep 18,757,17
Sep 17,837,16
Sep 16,600,10
Sep 15,605,24
Sep 14,377,15
Sep 13,502,6
Sep 12,603,13
Sep 11,594,10
Sep 10,506,12
Sep 9,421,11
Sep 8,400,12
Sep 7,302,4
Sep 6,437,7
Sep 5,567,13
Sep 4,691,8
Sep 3,612,14
Sep 2,595,20
Sep 1,550,19
Aug 31,502,6
Aug 30,631,1
Aug 29,759,14
Aug 28,791,9
Aug 27,887,15
Aug 26,729,17
Aug 25,763,17
Aug 24,548,5
Aug 23,581,4
Aug 22,900,13
Aug 21,903,13
Aug 20,767,12
Aug 19,735,17
Aug 18,597,11
Aug 17,595,8
Aug 16,594,8
Aug 15,771,11
Aug 14,832,14
Aug 13,811,14
Aug 12,715,9
Aug 11,551,12
Aug 10,619,2
Aug 9,624,7
Aug 8,843,13
Aug 7,809,13
Aug 6,726,18
Aug 5,640,18
Aug 4,680,6
Aug 3,575,1
Aug 2,548,10
Aug 1,658,5
Jul 31,657,7
Jul 30,615,15
Jul 29,512,12
Jul 28,502,6
Jul 27,337,5
Jul 26,443,7
Jul 25,584,9
Jul 24,458,4
Jul 23,418,9
Jul 22,380,6
Jul 21,399,9
Jul 20,279,3
Jul 19,358,6
Jul 18,339,6
Jul 17,353,8
Jul 16,333,11
Jul 15,264,6
Jul 14,267,12
Jul 13,299,5
Jul 12,370,3
Jul 11,305,6
Jul 10,265,11
Jul 9,262,9
Jul 8,277,15
Jul 7,257,7
Jul 6,205,4
Jul 5,231,5
Jul 4,314,5
Jul 3,259,15
Jul 2,371,15
Jul 1,382,14
Jun 30,239,19
Jun 29,247,6
Jun 28,193,3
Jun 27,319,6
Jun 26,276,17
Jun 25,298,16
Jun 24,294,21
Jun 23,300,16
Jun 22,296,3
Jun 21,311,10
Jun 20,304,12
Jun 19,301,18
Jun 18,314,30
Jun 17,506,14
Jun 16,407,16
Jun 15,396,9
Jun 14,375,10
Jun 13,444,9
Jun 12,376,7
Jun 11,359,9
Jun 10,282,23
Jun 9,400,17
Jun 8,599,9
Jun 7,575,4
Jun 6,576,16
Jun 5,362,20
Jun 4,361,2
Jun 3,292,23
Jun 2,230,18
Jun 1,379,10
May 31,215,3
May 30,416,10
May 29,330,13
May 28,352,10
May 27,399,4
May 26,443,17
May 25,305,11
May 24,395,3
May 23,312,11
May 22,476,10
May 21,404,10
May 20,471,14
May 19,383,12
May 18,356,11
May 17,272,10
May 16,241,8
May 15,401,24
May 14,411,22
May 13,283,22
May 12,595,28
May 11,330,11
May 10,345,15
May 9,285,9
May 8,319,21
May 7,307,22
May 6,309,17
May 5,425,18
May 4,313,20
May 3,318,14
May 2,270,13
May 1,228,7
Apr 30,237,20
Apr 29,422,28
Apr 28,316,34
Apr 27,285,27
Apr 26,344,11
Apr 25,381,30
Apr 24,381,40
Apr 23,342,28
Apr 22,313,25
Apr 21,263,21
Apr 20,306,20
Apr 19,545,13
Apr 18,363,15
Apr 17,461,18
Apr 16,336,28
Apr 15,380,23
Apr 14,263,18
Apr 13,260,13
Apr 12,318,24
Apr 11,401,27
Apr 10,380,7
Apr 9,370,15
Apr 8,357,30
Apr 7,435,22
Apr 6,311,13
Apr 5,475,15
Apr 4,244,8
Apr 3,437,14
Apr 2,392,14
Apr 1,243,10
Mar 31,256,2
Mar 30,193,9
Mar 29,224,4
Mar 28,249,2
Mar 27,168,-
Mar 26,170,2
Mar 25,151,4
Mar 24,151,2
Mar 23,115,1
Mar 22,98,2
Mar 21,111,-
Mar 20,70,-
Mar 19,68,-
Mar 18,49,-
Mar 17,61,1
Mar 16,52,1
Mar 15,21,-
Mar 14,36,1
Mar 13,17,1
Mar 12,20,1
Mar 11,9,-
Mar 10,5,-
Mar 9,6,-
Mar 8,5,-
Mar 7,1,-
Mar 6,4,-
Mar 4,1,-
